doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
albertinus_hirnschleifer_1618,head,0,0,True,1,Gedruckt zu Muͤnchen/ durch Nielas Hainrich.,gedruckt zu muͤnchen durch nielas hainrich,gedruckt zu munchen durch nielas hainrich
albertinus_hirnschleifer_1618,body,1,0,True,3,"Dem Hochwuͤrdigen/ Wolgeboꝛnen Herꝛn/ Herꝛn Wolfgang Wilhelm von Schrattenbach/ Freyherꝛn zu Heggenberg vnd Oſterwitz/ Scholaſtico, vnd Vice Regenten/ auch Thumbherꝛn deß Thumbſtiffts Saltzburg/ ꝛc. Meinem gnedigen Herꝛn.",dem hochwuͤrdigen wolgeboꝛnen herꝛn herꝛn wolfgang wilhelm von schrattenbach freyherꝛn zu heggenberg vnd oſterwitz scholaſtico vnd vice regenten auch thumbherꝛn deß thumbſtiffts saltzburg ꝛc meinem gnedigen herꝛn,dem hochwurdigen wolgebonen hern hern wolfgang wilhelm uon schrattenbach freyhern zu heggenberg und osterwitz scholastico und uice regenten auch thumbhern dess thumbstiffts saltzburg c meinem gnedigen hern
albertinus_hirnschleifer_1618,body,2,0,False,3,VNder denen Bűchern dern ich ein zimbliche anzahl ein zeithero in offentlichẽ Truck hab außgehen laſſen/ vnd etlich darunter mich nit wenig muͤhe vnd arbeit geſtanden/ kanich mit warheit wol bezeugen/ daß neben der muͤhe vnd arbeit/ ſo mir in zuſammenbringung diſes geringen Werckleins/ ſo den Titel fuͤhret deß Hirnſchleiffers/ darauff gangen/ mich noch ferꝛner die Figurn/ biß dieſelben in Kupffer geſtochen/ nit ein weniges gekoſt haben/ Alſo daß diſer Hirnſchleiffer/ da ichs mit E. G. gnaͤdiger erlaubnuß ſagen darff/ mir ſchier alle meine kraͤfften/ ja faſt das Leben außgeſchliffen.,vnder denen bűchern dern ich ein zimbliche anzahl ein zeithero in offentlichẽ truck hab außgehen laſſen vnd etlich darunter mich nit wenig muͤhe vnd arbeit geſtanden kanich mit warheit wol bezeugen daß neben der muͤhe vnd arbeit ſo mir in zuſammenbringung diſes geringen werckleins ſo den titel fuͤhret deß hirnſchleiffers darauff gangen mich noch ferꝛner die figurn biß dieſelben in kupffer geſtochen nit ein weniges gekoſt haben alſo daß diſer hirnſchleiffer da ichs mit e g gnaͤdiger erlaubnuß ſagen darff mir ſchier alle meine kraͤfften ja faſt das leben außgeſchliffen,under denen buchern dern ich ein zimbliche anzahl ein zeithero in offentlichen truck hab aussgehen lassen und etlich darunter mich nit wenig muhe und arbeit gestanden kanich mit warheit wol bezeugen dass neben der muhe und arbeit so mir in zusammenbringung dises geringen werckleins so den titel fuhret dess hirnschleiffers darauff gangen mich noch ferner die figurn biss dieselben in kupffer gestochen nit ein weniges gekost haben also dass diser hirnschleiffer da ichs mit e g gnadiger erlaubnuss sagen darff mir schier alle meine krafften ia fast das leben aussgeschliffen
albertinus_hirnschleifer_1618,body,2,1,False,4,"Dann in deme ich eben im werck geweſen/ vnd vnder andern mit denen gedancken fuͤrnem̃lich vmbgangẽ/ wie ich voꝛ meinem End vber vnd auſſer der ſo mancherley verſionen, mit denẽ ich mich offt vilfaͤltig beműhet/ etwas denckwűrdigs von meiner aignen compoſition publiciern moͤchte/ iſt mir diſe materia (darzu ich anlaitung auß deß Hieronymi Ruſcelli Buͤchern genommen/ welche derſelb in Anno 1566. dem Catholiſchen Koͤnig Philippo auß Hiſpanien dedicirt, vnd le impreſe illuſtri intituliert) eingefallen/ Ich bin aber kaum/ ja noch nit gar damit zu end gelangt/ ſo hat mich Gott der Allmechtig mit einer ſo gehlingen/ ſchweren vnd vnfuͤrſehenen Kranckheit angegriffen/ alſo daß ich gleichſam mich deß Lebensverwegẽ/ zugeſchweigen/ daß ich ein hoffnung haben koͤnnen/ diſen Diſcurs (durch den ich auch den Alciatum etlichermaſſen in ſeinen Emblematibuszuimitiren mich befliſſen) auff die weiß wie ich mirs voꝛgenommen/ zu end zubringen: Welches dann ein vrſach geweſen/ daß ich mich von der noch weitern außfuͤhrung diſer materi (als welche an ſich ſelbs alſo beſchaffen/ daß ſie ſich in ein infinitum hinein erſtreckt) hab abwenden/ vnd auff ein ſubiectum gedencken muͤſſen/ durch deſſen authoritet vnd anſehen/ das jenige was an mir vñ an dem opere noch moͤcht abgehn/ nit nuꝛ erſetzt/ Sonder auch eo ipſo gegen den Zoilis defendiert wurde/ In deme es vnder dem Schattẽ vnd protection eines ſo hochanſehenlichen Herꝛn Standts/ vnd nit geringen mitgliedts der Catholiſchen Kirchen/ an den Tag kombt: Erfrewt mich auch nit wenig/ da es je GOtt der Allmechtig anderſt mit mir ſchickt/ daß ich dannoch diſe gnad gehabt/ das letſte meiner Operum E. G. inmaſſen hiemit von mir beſchicht/ gehoꝛſamlich zudedicirn, vnd daꝛdurch nicht nur derſelben/ ſonder gleichſam der gantzen Welt zubezeugen/ daß mit meiner ſchuldigen affection gegen E. G. ich biß an mein End vnderthenig hab verharꝛt/ vnd zu bezeugnuß deſſen/ den Colophonem aller meiner Operum, niemand anderm/ als E. G. gehoꝛſamlich offerirt, der vnderthenigen hoffnung gelebent/ E. G. werden die jenige gnaden/ dern Sie mich voꝛ diſem gewűrdigt/ im fall ichs wegen noch wehrenden ſchwerrn vnnd gefahrlichen Leibszueſtandts ſelbs nit laͤnger wirdt genieſſen moͤgen/ gegen meinen hinderlaſſenden Weib vnd Kindern/ gnedig erſcheinen laſſen/ Solcher geſtalt E. G. mich vnd die meinigen zu ſtettswehrenden hulden/ Sie aber dem lieben Gott zu langwiriger geſundtheit/ vnderthenig vnd gehoꝛſamlich beuehlent.",dann in deme ich eben im werck geweſen vnd vnder andern mit denen gedancken fuͤrnem̃lich vmbgangẽ wie ich voꝛ meinem end vber vnd auſſer der ſo mancherley verſionen mit denẽ ich mich offt vilfaͤltig beműhet etwas denckwűrdigs von meiner aignen compoſition publiciern moͤchte iſt mir diſe materia darzu ich anlaitung auß deß hieronymi ruſcelli buͤchern genommen welche derſelb in anno dem catholiſchen koͤnig philippo auß hiſpanien dedicirt vnd le impreſe illuſtri intituliert eingefallen ich bin aber kaum ja noch nit gar damit zu end gelangt ſo hat mich gott der allmechtig mit einer ſo gehlingen ſchweren vnd vnfuͤrſehenen kranckheit angegriffen alſo daß ich gleichſam mich deß lebensverwegẽ zugeſchweigen daß ich ein hoffnung haben koͤnnen diſen diſcurs durch den ich auch den alciatum etlichermaſſen in ſeinen emblematibuszuimitiren mich befliſſen auff die weiß wie ich mirs voꝛgenommen zu end zubringen welches dann ein vrſach geweſen daß ich mich von der noch weitern außfuͤhrung diſer materi als welche an ſich ſelbs alſo beſchaffen daß ſie ſich in ein infinitum hinein erſtreckt hab abwenden vnd auff ein ſubiectum gedencken muͤſſen durch deſſen authoritet vnd anſehen das jenige was an mir vñ an dem opere noch moͤcht abgehn nit nuꝛ erſetzt sonder auch eo ipſo gegen den zoilis defendiert wurde in deme es vnder dem schattẽ vnd protection eines ſo hochanſehenlichen herꝛn standts vnd nit geringen mitgliedts der catholiſchen kirchen an den tag kombt erfrewt mich auch nit wenig da es je gott der allmechtig anderſt mit mir ſchickt daß ich dannoch diſe gnad gehabt das letſte meiner operum e g inmaſſen hiemit von mir beſchicht gehoꝛſamlich zudedicirn vnd daꝛdurch nicht nur derſelben ſonder gleichſam der gantzen welt zubezeugen daß mit meiner ſchuldigen affection gegen e g ich biß an mein end vnderthenig hab verharꝛt vnd zu bezeugnuß deſſen den colophonem aller meiner operum niemand anderm als e g gehoꝛſamlich offerirt der vnderthenigen hoffnung gelebent e g werden die jenige gnaden dern sie mich voꝛ diſem gewűrdigt im fall ichs wegen noch wehrenden ſchwerrn vnnd gefahrlichen leibszueſtandts ſelbs nit laͤnger wirdt genieſſen moͤgen gegen meinen hinderlaſſenden weib vnd kindern gnedig erſcheinen laſſen solcher geſtalt e g mich vnd die meinigen zu ſtettswehrenden hulden sie aber dem lieben gott zu langwiriger geſundtheit vnderthenig vnd gehoꝛſamlich beuehlent,dann in deme ich eben im werck gewesen und under andern mit denen gedancken furnemmlich umbgangen wie ich uo meinem end uber und ausser der so mancherley uersionen mit denen ich mich offt uilfaltig bemuhet etwas denckwurdigs uon meiner aignen composition publiciern mochte ist mir dise materia darzu ich anlaitung auss dess hieronymi ruscelli buchern genommen welche derselb in anno dem catholischen konig philippo auss hispanien dedicirt und le imprese illustri intituliert eingefallen ich bin aber kaum ia noch nit gar damit zu end gelangt so hat mich gott der allmechtig mit einer so gehlingen schweren und unfursehenen kranckheit angegriffen also dass ich gleichsam mich dess lebensuerwegen zugeschweigen dass ich ein hoffnung haben konnen disen discurs durch den ich auch den alciatum etlichermassen in seinen emblematibuszuimitiren mich beflissen auff die weiss wie ich mirs uogenommen zu end zubringen welches dann ein ursach gewesen dass ich mich uon der noch weitern aussfuhrung diser materi als welche an sich selbs also beschaffen dass sie sich in ein infinitum hinein erstreckt hab abwenden und auff ein subiectum gedencken mussen durch dessen authoritet und ansehen das ienige was an mir und an dem opere noch mocht abgehn nit nu ersetzt sonder auch eo ipso gegen den zoilis defendiert wurde in deme es under dem schatten und protection eines so hochansehenlichen hern standts und nit geringen mitgliedts der catholischen kirchen an den tag kombt erfrewt mich auch nit wenig da es ie gott der allmechtig anderst mit mir schickt dass ich dannoch dise gnad gehabt das letste meiner operum e g inmassen hiemit uon mir beschicht gehosamlich zudedicirn und dadurch nicht nur derselben sonder gleichsam der gantzen welt zubezeugen dass mit meiner schuldigen affection gegen e g ich biss an mein end underthenig hab uerhart und zu bezeugnuss dessen den colophonem aller meiner operum niemand anderm als e g gehosamlich offerirt der underthenigen hoffnung gelebent e g werden die ienige gnaden dern sie mich uo disem gewurdigt im fall ichs wegen noch wehrenden schwerrn unnd gefahrlichen leibszuestandts selbs nit langer wirdt geniessen mogen gegen meinen hinderlassenden weib und kindern gnedig erscheinen lassen solcher gestalt e g mich und die meinigen zu stettswehrenden hulden sie aber dem lieben gott zu langwiriger gesundtheit underthenig und gehosamlich beuehlent
albertinus_hirnschleifer_1618,body,2,2,True,8,"Datum Műnchen/ den 25. Iulij, Anno 1618.",datum műnchen den iulij anno,datum munchen den iulii anno
albertinus_hirnschleifer_1618,body,3,0,False,8,E. G. Gehoꝛſamer als Diener Ægidius Albertinus der F. Durchl.,e g gehoꝛſamer als diener ægidius albertinus der f durchl,e g gehosamer als diener aegidius albertinus der f durchl
albertinus_hirnschleifer_1618,body,3,1,True,8,Hertzog Maximilians in Bayꝛn/ ꝛc. Hof: vnd Geiſtlichen Raths Secretarius.,hertzog maximilians in bayꝛn ꝛc hof vnd geiſtlichen raths secretarius,hertzog maximilians in bayn c hof und geistlichen raths secretarius
albertinus_hirnschleifer_1618,head,4,0,True,11,Verzeithnuß der Kupffer/ ſo im Hirnſchleiffer beſchriben werden.,verzeithnuß der kupffer ſo im hirnſchleiffer beſchriben werden,uerzeithnuss der kupffer so im hirnschleiffer beschriben werden
albertinus_hirnschleifer_1618,body,5,0,True,15,Erſtlich Angerona oder Kumernuß. fol. 1 Ein Schreiber ertrinckt im Dintenfaß. 12 Von der Weiber Regiment. 30 Ein Menſchen Haupt. 58 Ein Mann ſihet in einem Spiegel einen Narꝛen. 85 Vier Laruen. 108 Ein Fuchß helt mit ſeinen foͤꝛdern Fuͤeſſen ein Maſcara. 125 Ein Koͤnig mit einem doppelten Geſicht/ der helt in der lincken Hand einen Zepter/ obẽ auff demſelbẽ ſitzt ein Storck/ vnnd vnden an hangt ein Meer Roß. 131 Ein Richter helt in der rechten Hand einen Zepter/ oben auff demſelben iſt ein Aug. 143 Ein Man mit dreyen Angeſichtern. 150 Ein Koͤnig wird verblendt. 167 Ein Juͤngling vnd ein Jungfraw ſein mit einer Ketten zuſamen gefeſſelt. 190 Ein Weib reutet auff einem Man die hat Spoꝛn an. 207 Der Diogenes geht beim hellen liechten Tag mit einer brinnenden Latern auff der Gaſſen vmb. 220 Ein Jungfraw ſteht auff einem/ Grab/ reiſſet jhr die Haar auß vnd waint. 229 Ein Loͤw vnd ein Lamb waiden mit einander auff der Waid. 256 Ein Thurn/ deſſen Spitz faͤllt vmb. 274 Ein Hand helt einen vmbgekehꝛten leeren Beutel. 285 Ein Man ſchlaͤfft in einem Schiff/ welches keinen Maſtbaum noch Rueder hat. 294 Ein Jungfraw ſchlaͤgt auff der Lauten. 316 Die Iuſtici wird verblendt. 336 Die Circe verwandelt deß Vliſſis geſellen in mancherley Thier. 350 Ein Koͤnig traͤgt ein Schluͤſſel ſambt einem Lamb auff den Schuldern. 368 Ein nackender vnd verſchlayrter Juͤngling. 379 Ein Hand mit einem Aug. 384 Mitten in einem Garten ſteht ein fruchtbarer Baum. 426 Mitten in einem Weingarten ſteht ein Thurn vnd Weinkelter/ derſelb iſt mit einem doͤꝛnern Zaun vmbfangen. 440 Ein Man waſcht einen Moꝛen. 452 Ein Juͤngling zaigt den Sommer vnnd den Winter/ das Leben vnd den Todt. 475 Der Hercules ſchlafft vnder einẽ baum. 486 Ein Aff truckt ſeine Jungen zutodt. 499 Ein buckleter Mann. 508 Ein Knab ſambt zween Rappen. 520 Ein Eſel wird von Affen verſpott. 526 Ein Narꝛ pfeifft auff ſeiner Sackpfeiffen. 534 Etliche Schuͤtzen ſchieſſen mit dem Arm̃bruſt. 544 Ein Mangeht an einem zerbꝛochnẽ Rohꝛ. 557 Ein Pellican ſambt einer Eul. 564 Zwo Haͤnd blaſen mit einem Blaßbalg ein rauchendes Fewꝛ auff. 577 Ein Eſel ſteht auff zween Polſtern. 590 Ein Man tregt ein Cron in der hand. 594 Ein junge Mansperſon hat drey ſchwerter im Mund. 607 Ein Hirt reiſſet einem Loͤwen zway Bain vnnd das aͤuſſerſte vom Ohr auß dem Maul. 613 Zwey alte Weiber ziehen ein Jungfraw auff einem Wagen. 618 Ein Weib ſitzt auff einem Wagen/ vnd wird von vier Loͤwen gezogen. 626 Sonn faͤhrt auff einem Wagen. 629 Ein groſſes Geſchuͤtz. 636 Ein kleins Hertz ſteht oben auff der ſpitze eines hohen Bergs. 641 Ein Hundt der mit einem Pfeil geſchoſſen iſt. 653 Ein zerbrochner erdiner Krug auff demſelben iſt ein Silbernes vergultes Luck. 663 Zween Trommeter/ der eine blaͤſt/ der ander nit. 676 Zwo Laternen. 686 Der Todt ſteigt durchs Fenſter inn ein Hauß. 690,erſtlich angerona oder kumernuß fol ein schreiber ertrinckt im dintenfaß von der weiber regiment ein menſchen haupt ein mann ſihet in einem spiegel einen narꝛen vier laruen ein fuchß helt mit ſeinen foͤꝛdern fuͤeſſen ein maſcara ein koͤnig mit einem doppelten geſicht der helt in der lincken hand einen zepter obẽ auff demſelbẽ ſitzt ein storck vnnd vnden an hangt ein meer roß ein richter helt in der rechten hand einen zepter oben auff demſelben iſt ein aug ein man mit dreyen angeſichtern ein koͤnig wird verblendt ein juͤngling vnd ein jungfraw ſein mit einer ketten zuſamen gefeſſelt ein weib reutet auff einem man die hat spoꝛn an der diogenes geht beim hellen liechten tag mit einer brinnenden latern auff der gaſſen vmb ein jungfraw ſteht auff einem grab reiſſet jhr die haar auß vnd waint ein loͤw vnd ein lamb waiden mit einander auff der waid ein thurn deſſen spitz faͤllt vmb ein hand helt einen vmbgekehꝛten leeren beutel ein man ſchlaͤfft in einem schiff welches keinen maſtbaum noch rueder hat ein jungfraw ſchlaͤgt auff der lauten die iuſtici wird verblendt die circe verwandelt deß vliſſis geſellen in mancherley thier ein koͤnig traͤgt ein schluͤſſel ſambt einem lamb auff den schuldern ein nackender vnd verſchlayrter juͤngling ein hand mit einem aug mitten in einem garten ſteht ein fruchtbarer baum mitten in einem weingarten ſteht ein thurn vnd weinkelter derſelb iſt mit einem doͤꝛnern zaun vmbfangen ein man waſcht einen moꝛen ein juͤngling zaigt den sommer vnnd den winter das leben vnd den todt der hercules ſchlafft vnder einẽ baum ein aff truckt ſeine jungen zutodt ein buckleter mann ein knab ſambt zween rappen ein eſel wird von affen verſpott ein narꝛ pfeifft auff ſeiner sackpfeiffen etliche schuͤtzen ſchieſſen mit dem arm̃bruſt ein mangeht an einem zerbꝛochnẽ rohꝛ ein pellican ſambt einer eul zwo haͤnd blaſen mit einem blaßbalg ein rauchendes fewꝛ auff ein eſel ſteht auff zween polſtern ein man tregt ein cron in der hand ein junge mansperſon hat drey ſchwerter im mund ein hirt reiſſet einem loͤwen zway bain vnnd das aͤuſſerſte vom ohr auß dem maul zwey alte weiber ziehen ein jungfraw auff einem wagen ein weib ſitzt auff einem wagen vnd wird von vier loͤwen gezogen sonn faͤhrt auff einem wagen ein groſſes geſchuͤtz ein kleins hertz ſteht oben auff der ſpitze eines hohen bergs ein hundt der mit einem pfeil geſchoſſen iſt ein zerbrochner erdiner krug auff demſelben iſt ein silbernes vergultes luck zween trommeter der eine blaͤſt der ander nit zwo laternen der todt ſteigt durchs fenſter inn ein hauß,erstlich angerona oder kumernuss fol ein schreiber ertrinckt im dintenfass uon der weiber regiment ein menschen haupt ein mann sihet in einem spiegel einen naren uier laruen ein fuchss helt mit seinen fodern fuessen ein mascara ein konig mit einem doppelten gesicht der helt in der lincken hand einen zepter oben auff demselben sitzt ein storck unnd unden an hangt ein meer ross ein richter helt in der rechten hand einen zepter oben auff demselben ist ein aug ein man mit dreyen angesichtern ein konig wird uerblendt ein iungling und ein iungfraw sein mit einer ketten zusamen gefesselt ein weib reutet auff einem man die hat spon an der diogenes geht beim hellen liechten tag mit einer brinnenden latern auff der gassen umb ein iungfraw steht auff einem grab reisset ihr die haar auss und waint ein low und ein lamb waiden mit einander auff der waid ein thurn dessen spitz fallt umb ein hand helt einen umbgekehten leeren beutel ein man schlafft in einem schiff welches keinen mastbaum noch rueder hat ein iungfraw schlagt auff der lauten die iustici wird uerblendt die circe uerwandelt dess ulissis gesellen in mancherley thier ein konig tragt ein schlussel sambt einem lamb auff den schuldern ein nackender und uerschlayrter iungling ein hand mit einem aug mitten in einem garten steht ein fruchtbarer baum mitten in einem weingarten steht ein thurn und weinkelter derselb ist mit einem donern zaun umbfangen ein man wascht einen moen ein iungling zaigt den sommer unnd den winter das leben und den todt der hercules schlafft under einen baum ein aff truckt seine iungen zutodt ein buckleter mann ein knab sambt zween rappen ein esel wird uon affen uerspott ein nar pfeifft auff seiner sackpfeiffen etliche schutzen schiessen mit dem armmbrust ein mangeht an einem zerbochnen roh ein pellican sambt einer eul zwo hand blasen mit einem blassbalg ein rauchendes few auff ein esel steht auff zween polstern ein man tregt ein cron in der hand ein iunge mansperson hat drey schwerter im mund ein hirt reisset einem lowen zway bain unnd das ausserste uom ohr auss dem maul zwey alte weiber ziehen ein iungfraw auff einem wagen ein weib sitzt auff einem wagen und wird uon uier lowen gezogen sonn fahrt auff einem wagen ein grosses geschutz ein kleins hertz steht oben auff der spitze eines hohen bergs ein hundt der mit einem pfeil geschossen ist ein zerbrochner erdiner krug auff demselben ist ein silbernes uergultes luck zween trommeter der eine blast der ander nit zwo laternen der todt steigt durchs fenster inn ein hauss
albertinus_hirnschleifer_1618,body,6,0,True,15,Ende deß Regiſters.,ende deß regiſters,ende dess registers
albertinus_hirnschleifer_1618,head,7,0,True,1,Der Hirnſchleiffer. Angerona.,der hirnſchleiffer angerona,der hirnschleiffer angerona
albertinus_hirnschleifer_1618,body,8,0,False,1,"VNder andern Heydniſchen Goͤttern wurden auch zwo Goͤttinnen verehrt/ die eine hieß Volupia oder Wolluſtbarkeit: Die andere hieß Angerona oder Kuͤmmernuß/ diſe Bildtnuß ſtund mitten im Tempel Volupiæ, vnd deutete mit dem Finger auff den Mundt/ vnnd ſagte gleichſamb: attende tibi: merck auff dich.",vnder andern heydniſchen goͤttern wurden auch zwo goͤttinnen verehrt die eine hieß volupia oder wolluſtbarkeit die andere hieß angerona oder kuͤmmernuß diſe bildtnuß ſtund mitten im tempel volupiæ vnd deutete mit dem finger auff den mundt vnnd ſagte gleichſamb attende tibi merck auff dich,under andern heydnischen gottern wurden auch zwo gottinnen uerehrt die eine hiess uolupia oder wollustbarkeit die andere hiess angerona oder kummernuss dise bildtnuss stund mitten im tempel uolupiae und deutete mit dem finger auff den mundt unnd sagte gleichsamb attende tibi merck auff dich
albertinus_hirnschleifer_1618,body,8,1,True,2,Hierdurch werden fuͤrnemblich zwey ding bedeut/ erſtlich/ daß der Mundt ein Haͤuſel iſt/ welches einem jeden offen ſteht vnd alle Speiſen vnnd Getranck ohne allen vnderſchidt noch maß hinein leſt/ dardurch aber wird Leib vnd Seel verderbt/ dann vil mehr Menſchen kommen durch den Fraß vmb/ weder durch das Schwerdt/ dann der Krieg wehret nur ein/ zwey oder etlich wenig Jar/ aber der Fraß wehret drcy oder viermahl im tag/ bißweiln einen gantzen tag lang/ vnd dienacht darzu: der Sontag erklecket nit/ ſonder man machet auch gute (oder vilmehr boͤſe) Montaͤg.,hierdurch werden fuͤrnemblich zwey ding bedeut erſtlich daß der mundt ein haͤuſel iſt welches einem jeden offen ſteht vnd alle speiſen vnnd getranck ohne allen vnderſchidt noch maß hinein leſt dardurch aber wird leib vnd seel verderbt dann vil mehr menſchen kommen durch den fraß vmb weder durch das schwerdt dann der krieg wehret nur ein zwey oder etlich wenig jar aber der fraß wehret drcy oder viermahl im tag bißweiln einen gantzen tag lang vnd dienacht darzu der sontag erklecket nit ſonder man machet auch gute oder vilmehr boͤſe montaͤg,hierdurch werden furnemblich zwey ding bedeut erstlich dass der mundt ein hausel ist welches einem ieden offen steht und alle speisen unnd getranck ohne allen underschidt noch mass hinein lest dardurch aber wird leib und seel uerderbt dann uil mehr menschen kommen durch den frass umb weder durch das schwerdt dann der krieg wehret nur ein zwey oder etlich wenig iar aber der frass wehret drcy oder uiermahl im tag bissweiln einen gantzen tag lang und dienacht darzu der sontag erklecket nit sonder man machet auch gute oder uilmehr bose montag
albertinus_hirnschleifer_1618,body,9,0,False,2,"Am andern/ deutet Angerona oder die kum̃ernuß nit ſo faſt auff den mund/ als auch auff die rede/ welche auß dem Mund herfuͤrgehet: So ſpricht derwegen Angerona zu einem vnnützen Schwetzer/ Schalcksnarꝛen vnnd Affterꝛeder: attende tibi, merck auff dich/ vnd halt dein Maul im zaum/ Dann es ſteht geſehriben: der Menſch muß rechenſchafft geben von einem jeglichen vnnuͤtzen wort/ welches auß ſeinem Mundt gangen: Zu den geitzigen Kramern ſpricht Angerona: attende tibi, halt dein Maul/ liege nicht vergebens/ verſchwere dein Seel dem Teufel nit von eines ſchlechten gewinns/ oder eines aintzigen Hallers wegen.",am andern deutet angerona oder die kum̃ernuß nit ſo faſt auff den mund als auch auff die rede welche auß dem mund herfuͤrgehet so ſpricht derwegen angerona zu einem vnnützen schwetzer schalcksnarꝛen vnnd affterꝛeder attende tibi merck auff dich vnd halt dein maul im zaum dann es ſteht geſehriben der menſch muß rechenſchafft geben von einem jeglichen vnnuͤtzen wort welches auß ſeinem mundt gangen zu den geitzigen kramern ſpricht angerona attende tibi halt dein maul liege nicht vergebens verſchwere dein seel dem teufel nit von eines ſchlechten gewinns oder eines aintzigen hallers wegen,am andern deutet angerona oder die kummernuss nit so fast auff den mund als auch auff die rede welche auss dem mund herfurgehet so spricht derwegen angerona zu einem unnutzen schwetzer schalcksnaren unnd afftereder attende tibi merck auff dich und halt dein maul im zaum dann es steht gesehriben der mensch muss rechenschafft geben uon einem ieglichen unnutzen wort welches auss seinem mundt gangen zu den geitzigen kramern spricht angerona attende tibi halt dein maul liege nicht uergebens uerschwere dein seel dem teufel nit uon eines schlechten gewinns oder eines aintzigen hallers wegen
albertinus_hirnschleifer_1618,body,9,1,False,3,Zu den Gailen vnd vnkeuſchen ſpricht ſie: rede nit ſchampare vnd aͤrgerliche wort in beyſeyn erbarer Frawen vñ Jungfꝛawen/ damit dein zung nit ein ſchweꝛd ſeye/ welches vil Menſchen Geiſtlicher weiß toͤdtet.,zu den gailen vnd vnkeuſchen ſpricht ſie rede nit ſchampare vnd aͤrgerliche wort in beyſeyn erbarer frawen vñ jungfꝛawen damit dein zung nit ein ſchweꝛd ſeye welches vil menſchen geiſtlicher weiß toͤdtet,zu den gailen und unkeuschen spricht sie rede nit schampare und argerliche wort in beyseyn erbarer frawen und iungfawen damit dein zung nit ein schwed seye welches uil menschen geistlicher weiss todtet
albertinus_hirnschleifer_1618,body,9,2,False,3,"Zu den Hofleuten ſpricht Angerona: halt dein Maul vnd rede wenig/ vnnd daſſelb bedechtlich/ dañ du haſt vil Coriphæos, Protocolliſten, Gloſſiſten vnd auffmercker.",zu den hofleuten ſpricht angerona halt dein maul vnd rede wenig vnnd daſſelb bedechtlich dañ du haſt vil coriphæos protocolliſten gloſſiſten vnd auffmercker,zu den hofleuten spricht angerona halt dein maul und rede wenig unnd dasselb bedechtlich dann du hast uil coriphaeos protocollisten glossisten und auffmercker
albertinus_hirnschleifer_1618,body,9,3,False,3,"Zu den Gottloſen fluchern vnd ſchwerern ſpricht ſie: attende tibi, huͤtte dich vor fluchen/ ſchweren vnd Gottslaͤſtern/ dann der Teufel hat vil auß Gottes verhaͤngnuß mit Leib vnd Seel hinweg gefuͤhrt/ vnd im Lufft zerriſen.",zu den gottloſen fluchern vnd ſchwerern ſpricht ſie attende tibi huͤtte dich vor fluchen ſchweren vnd gottslaͤſtern dann der teufel hat vil auß gottes verhaͤngnuß mit leib vnd seel hinweg gefuͤhrt vnd im lufft zerriſen,zu den gottlosen fluchern und schwerern spricht sie attende tibi hutte dich uor fluchen schweren und gottslastern dann der teufel hat uil auss gottes uerhangnuss mit leib und seel hinweg gefuhrt und im lufft zerrisen
albertinus_hirnschleifer_1618,body,9,4,False,3,"Zu den fuͤrwitzigen Haſen ſpricht ſie: huͤte dich/ die ding zuerforſchen vnd zureden/ welche dir vil zu hoch vñ vnergruͤndlichſcind/ dann weil etliche Leut vil von den allerhoͤchſten Geheimnuſſen von der Dreyfaltigkeit vnd prædeſtination diſputiren vnnd reden wollen/ vnd mit jhren blechenem verſtandt alles außzircklen/ ergründen/ wiſſen vnd profitiren woͤllen/ ſo werden ſie zu Narꝛen vnnd fallen von der einen Ketzerey vnd ſchwirmerey in die andere/ geraten auch letſtlich in den atheiſmum, vnd in ſolche Gottloſigkeiten/ daß ſie nicht wiſſen/ was ſie glauben oder mit weme ſie es halten ſollen.",zu den fuͤrwitzigen haſen ſpricht ſie huͤte dich die ding zuerforſchen vnd zureden welche dir vil zu hoch vñ vnergruͤndlichſcind dann weil etliche leut vil von den allerhoͤchſten geheimnuſſen von der dreyfaltigkeit vnd prædeſtination diſputiren vnnd reden wollen vnd mit jhren blechenem verſtandt alles außzircklen ergründen wiſſen vnd profitiren woͤllen ſo werden ſie zu narꝛen vnnd fallen von der einen ketzerey vnd ſchwirmerey in die andere geraten auch letſtlich in den atheiſmum vnd in ſolche gottloſigkeiten daß ſie nicht wiſſen was ſie glauben oder mit weme ſie es halten ſollen,zu den furwitzigen hasen spricht sie hute dich die ding zuerforschen und zureden welche dir uil zu hoch und unergrundlichscind dann weil etliche leut uil uon den allerhochsten geheimnussen uon der dreyfaltigkeit und praedestination disputiren unnd reden wollen und mit ihren blechenem uerstandt alles ausszircklen ergrunden wissen und profitiren wollen so werden sie zu naren unnd fallen uon der einen ketzerey und schwirmerey in die andere geraten auch letstlich in den atheismum und in solche gottlosigkeiten dass sie nicht wissen was sie glauben oder mit weme sie es halten sollen
