doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
357469,head,0,0,True,,Chriſtliche Leichpredigt/ Bey dem Begraͤbnuͤß deß Edelen Geſtrengen/ Ehrenveſten/ Hoch vnd Wolbenambten/ Herꝛen Joachim von Berge/ auff Herndorff vnd Clade/ Weiland Ferdinands deß I. Maximilians deß II. Rudolffs des II. aller dreyer Roͤm: Kayſer Reichshoffrath/ ꝛc. Welcher den 5. Martij am Abend nahe nach 9. vhr/ in dieſem 1602. Jahr/ ſeines alters im 76. Jahr/ weniger ein Monat/ zu Herndorff in Chriſto Seeliglich entſchlaffen iſt. Bey groſſer Adelicher verſamlung in der Kirchen zu Herndorff den 1. April gehalten/ Durch Martinum Fuͤſſel von Goͤrlitz Pfarꝛer zu Claden. Gedruckt im Jahr/ 1602.,chriſtliche leichpredigt bey dem begraͤbnuͤß deß edelen geſtrengen ehrenveſten hoch vnd wolbenambten herꝛen joachim von berge auff herndorff vnd clade weiland ferdinands deß i maximilians deß ii rudolffs des ii aller dreyer roͤm kayſer reichshoffrath ꝛc welcher den martij am abend nahe nach vhr in dieſem jahr ſeines alters im jahr weniger ein monat zu herndorff in chriſto seeliglich entſchlaffen iſt bey groſſer adelicher verſamlung in der kirchen zu herndorff den april gehalten durch martinum fuͤſſel von goͤrlitz pfarꝛer zu claden gedruckt im jahr,christliche leichpredigt bey dem begrabnuss dess edelen gestrengen ehrenuesten hoch und wolbenambten heren ioachim uon berge auff herndorff und clade weiland ferdinands dess i maximilians dess ii rudolffs des ii aller dreyer rom kayser reichshoffrath c welcher den martii am abend nahe nach uhr in diesem iahr seines alters im iahr weniger ein monat zu herndorff in christo seeliglich entschlaffen ist bey grosser adelicher uersamlung in der kirchen zu herndorff den april gehalten durch martinum fussel uon gorlitz pfarer zu claden gedruckt im iahr
357469,body,1,0,False,1,EDle/ geſtrenge/ Ehrentugentreiche Fraw/ Großguͤnſtige fraw gevatter ꝛc. Auch Edle/ Geſtrenge/ Ehrenveſte/ wolbenambte Herren/ groſſe Patroni vnd foͤrderer/ ꝛc. Es ſagetwol der Apoſtel Paulus zun Roͤmern am 15.v.4. Was zuvor geſchrieben iſt/ das iſt vns zur Lehr geſchriben/ auff das wir durch gedult vnd troſt der ſchrifft hoffnung haben/ vnd 2. Tim. 3. v. 16. Alle ſchrifft von GOtt eingegeben iſt nůtze.,edle geſtrenge ehrentugentreiche fraw großguͤnſtige fraw gevatter ꝛc auch edle geſtrenge ehrenveſte wolbenambte herren groſſe patroni vnd foͤrderer ꝛc es ſagetwol der apoſtel paulus zun roͤmern am v was zuvor geſchrieben iſt das iſt vns zur lehr geſchriben auff das wir durch gedult vnd troſt der ſchrifft hoffnung haben vnd tim v alle ſchrifft von gott eingegeben iſt nůtze,edle gestrenge ehrentugentreiche fraw grossgunstige fraw geuatter c auch edle gestrenge ehrenueste wolbenambte herren grosse patroni und forderer c es sagetwol der apostel paulus zun romern am u was zuuor geschrieben ist das ist uns zur lehr geschriben auff das wir durch gedult und trost der schrifft hoffnung haben und tim u alle schrifft uon gott eingegeben ist nutze
357469,body,1,1,False,2,Damit er lehret/ das nichts in heiliger Schrifft ſey/ darauß man nicht koͤnne Lehr vnd Troſt nehmen.,damit er lehret das nichts in heiliger schrifft ſey darauß man nicht koͤnne lehr vnd troſt nehmen,damit er lehret das nichts in heiliger schrifft sey darauss man nicht konne lehr und trost nehmen
357469,body,1,2,True,2,Jedoch gleich wie etliche Gottsfuͤrchtige hohes vnd nidriges ſtandes/ wol etliche Jahr zuvor pflegen von dem gutt/ das jhnen der Segen Gottes zubracht/ jhr todes geraͤthe fertig zu machen/ vnd zuverwahren/ biß mans darff den Leichnam hienein zu huͤllen/ deſſen viel loͤblicher Exempel durch den offentlichen druck in alten vnd newen Hiſtorien bekandt ſind: Alſo iſt es ſehr gut/ das ein Chriſt jhm etliche gewiſſe ſpruͤche/ auß dem reichen vorrath goͤttliches worts erwehle/ vnd gleich zu ſeinem letzten Todesſtuͤndlin beſeit lege vnd auffhebe/ lerne ſie wol verſtehen/ auff das an ſeinem ende er ſeine Seel gleich wie hinein huͤllen vnd mit troſt verwaren koͤnne.,jedoch gleich wie etliche gottsfuͤrchtige hohes vnd nidriges ſtandes wol etliche jahr zuvor pflegen von dem gutt das jhnen der segen gottes zubracht jhr todes geraͤthe fertig zu machen vnd zuverwahren biß mans darff den leichnam hienein zu huͤllen deſſen viel loͤblicher exempel durch den offentlichen druck in alten vnd newen hiſtorien bekandt ſind alſo iſt es ſehr gut das ein chriſt jhm etliche gewiſſe ſpruͤche auß dem reichen vorrath goͤttliches worts erwehle vnd gleich zu ſeinem letzten todesſtuͤndlin beſeit lege vnd auffhebe lerne ſie wol verſtehen auff das an ſeinem ende er ſeine seel gleich wie hinein huͤllen vnd mit troſt verwaren koͤnne,iedoch gleich wie etliche gottsfurchtige hohes und nidriges standes wol etliche iahr zuuor pflegen uon dem gutt das ihnen der segen gottes zubracht ihr todes gerathe fertig zu machen und zuuerwahren biss mans darff den leichnam hienein zu hullen dessen uiel loblicher exempel durch den offentlichen druck in alten und newen historien bekandt sind also ist es sehr gut das ein christ ihm etliche gewisse spruche auss dem reichen uorrath gottliches worts erwehle und gleich zu seinem letzten todesstundlin beseit lege und auffhebe lerne sie wol uerstehen auff das an seinem ende er seine seel gleich wie hinein hullen und mit trost uerwaren konne
357469,body,2,0,False,2,Denn da wird offtmals der Verſtand geringe/ das Gedechtnuͤß verfelt/ da kan man nicht auff weitleufftige predigten hoͤren/ ſondern ein Troſtſpruch/ ein Troſtwort das durch den mund Gottes gangen iſt/ das erfrewet/ labet/ ſpeiſet/ erquicket Hertz/ Leib/ vnd Seel.,denn da wird offtmals der verſtand geringe das gedechtnuͤß verfelt da kan man nicht auff weitleufftige predigten hoͤren ſondern ein troſtſpruch ein troſtwort das durch den mund gottes gangen iſt das erfrewet labet ſpeiſet erquicket hertz leib vnd seel,denn da wird offtmals der uerstand geringe das gedechtnuss uerfelt da kan man nicht auff weitleufftige predigten horen sondern ein trostspruch ein trostwort das durch den mund gottes gangen ist das erfrewet labet speiset erquicket hertz leib und seel
357469,body,2,1,True,2,Wen man es aber auff ſeinem Todtbette erſt lernen ſoll/ da gehet es ſchwer zu/ vnd iſt offt zu lange geharret.,wen man es aber auff ſeinem todtbette erſt lernen ſoll da gehet es ſchwer zu vnd iſt offt zu lange geharret,wen man es aber auff seinem todtbette erst lernen soll da gehet es schwer zu und ist offt zu lange geharret
357469,body,3,0,True,2,Demnach ob wol der Weiland Edele Geſtrenge Ehren veſte Hoch vnd Wolbenambte Herꝛ Joachim von Berge/ ꝛc. Chriſtmilder gedechtnuß vnſer jtzo in Chriſto ruhender lieber Herr/ die gantze ſchrifft als ſeinen groͤſten ſchatz/ die gantze zeit ſeines lebens gelibet/ fleiſſig geleſen vnd andechtig betrachtet hat/ So hat er jhm doch etliche gewiſſe Spruͤche beſonders erwehlet/ die er offt in ſeinem Munde gefuͤhret/ vnd jhm wol bekant gemacht hat/ die auch ſeine Troſtſpruͤchlin biß an das ende blieben ſind/ darein ſeine Seel gleich wie ein gehuͤllet vnd vor des todes ſchrecken verwahret/ ſanfft vnd ſtille von hinnen geſchieden iſt.,demnach ob wol der weiland edele geſtrenge ehren veſte hoch vnd wolbenambte herꝛ joachim von berge ꝛc chriſtmilder gedechtnuß vnſer jtzo in chriſto ruhender lieber herr die gantze ſchrifft als ſeinen groͤſten ſchatz die gantze zeit ſeines lebens gelibet fleiſſig geleſen vnd andechtig betrachtet hat so hat er jhm doch etliche gewiſſe spruͤche beſonders erwehlet die er offt in ſeinem munde gefuͤhret vnd jhm wol bekant gemacht hat die auch ſeine troſtſpruͤchlin biß an das ende blieben ſind darein ſeine seel gleich wie ein gehuͤllet vnd vor des todes ſchrecken verwahret ſanfft vnd ſtille von hinnen geſchieden iſt,demnach ob wol der weiland edele gestrenge ehren ueste hoch und wolbenambte her ioachim uon berge c christmilder gedechtnuss unser itzo in christo ruhender lieber herr die gantze schrifft als seinen grosten schatz die gantze zeit seines lebens gelibet fleissig gelesen und andechtig betrachtet hat so hat er ihm doch etliche gewisse spruche besonders erwehlet die er offt in seinem munde gefuhret und ihm wol bekant gemacht hat die auch seine trostspruchlin biss an das ende blieben sind darein seine seel gleich wie ein gehullet und uor des todes schrecken uerwahret sanfft und stille uon hinnen geschieden ist
357469,body,4,0,True,3,Vnter denſelben vielen Spruͤchen/ die jhm der Edele Herr/ als ſein eigen außgeſondert/ iſt nicht das wenigſt/ daß ſpruͤchlin aus dem 10. Cap. Johannis/ Meine Schaffe hoͤren meine ſtimme/ ꝛc. Welches S. G. die gantze zeit jhres lebens ſehr geliebet/ gern im munde gehabt/ vnd jhr Spruͤchlin genennet hat/ jhr auch in jhrer Todes ſchwacheit fleiſſig eingehalten worden iſt.,vnter denſelben vielen spruͤchen die jhm der edele herr als ſein eigen außgeſondert iſt nicht das wenigſt daß ſpruͤchlin aus dem cap johannis meine schaffe hoͤren meine ſtimme ꝛc welches s g die gantze zeit jhres lebens ſehr geliebet gern im munde gehabt vnd jhr spruͤchlin genennet hat jhr auch in jhrer todes ſchwacheit fleiſſig eingehalten worden iſt,unter denselben uielen spruchen die ihm der edele herr als sein eigen aussgesondert ist nicht das wenigst dass spruchlin aus dem cap iohannis meine schaffe horen meine stimme c welches s g die gantze zeit ihres lebens sehr geliebet gern im munde gehabt und ihr spruchlin genennet hat ihr auch in ihrer todes schwacheit fleissig eingehalten worden ist
357469,body,5,0,True,3,"Daſſelbe habe ich/ nach dem mir Gott ſeine Gnade verliehen/ in der Adelichẽ Leichbegengnuß (weil der gute fromme alte Herr/ der Ehrwuͤrdige vnd Wolgelarte Herr Georgius Mollerus, loci ordinarius, wegen ſeines hohen alters vnd damals leibes ſchwachheit dieſen letzten dienſt S. G. nicht leiſten koͤnnen) erklaͤret vnd daraus erwieſen/ was wir vns zu troſt von dieſem vnſerem nu mehr ſeeligen Herren fuͤr gedancken machen vnd einbilden ſollen/ was auch menniglich der es hoͤrete von S. G. vrtheilenkoͤnte: Nicht meinendt/ dz ſolche geringfuͤgig arbeit in druck kommen ſolte/ als der ich mir meiner ſchwachheit wol bewuſt/ vnd fuͤr mir ſehe/ ſo viel edele geiſtreiche ſchrifften/ mit welchen dieſe meine arbeit in wenigſten nicht zuvergleichen: Jedoch weil ſolches von mir begeret worden/ in anſehung es noͤtig were/ zum offentlichen zeugnuͤß deß verſtorbenen Herren warer Gottſeligkeit/ vnd recht Chriſtlichen abſchiedes/ wieder feindes mund/ der niemals den frommen vnd außerwehlten Gottes etwas guttes nach zu ſagen pfleget/ Sondern dieſelben auch nach jhrem Tode ſchmaͤhet/ vnd zubeſorgen/ er werde dieſes frommen Gottſeligen Herren auch nicht ſchonen/ habe ich ſchuldiger pflicht vnd vnterthenigkeit nach/ auch offentlich etlicher maſſen zubezeugen mein danckbares gemuͤth/ gegen dem verſtorbenen ſeligem Herren/ Chriſtloͤblicher gedechtnuͤß/ der ſich in vielwege/ mehr den Vaͤterlich/ (das ich S. G. die zeit meines lebens danckbarlich nachruͤhmen muß) gegen mir erzeiget/ mich am ſtudiren verleget vnd erhalten/ auch allezeit mein groſſer Mecœnas vnd Patronus geweſen/ Solches nit koͤnnen nach ſollen wiederen: Sondern was da in offentlicher Adelicher verſamlung abgeredet worden/ nu mehr auch in druck folgen laſſen.",daſſelbe habe ich nach dem mir gott ſeine gnade verliehen in der adelichẽ leichbegengnuß weil der gute fromme alte herr der ehrwuͤrdige vnd wolgelarte herr georgius mollerus loci ordinarius wegen ſeines hohen alters vnd damals leibes ſchwachheit dieſen letzten dienſt s g nicht leiſten koͤnnen erklaͤret vnd daraus erwieſen was wir vns zu troſt von dieſem vnſerem nu mehr ſeeligen herren fuͤr gedancken machen vnd einbilden ſollen was auch menniglich der es hoͤrete von s g vrtheilenkoͤnte nicht meinendt dz ſolche geringfuͤgig arbeit in druck kommen ſolte als der ich mir meiner ſchwachheit wol bewuſt vnd fuͤr mir ſehe ſo viel edele geiſtreiche ſchrifften mit welchen dieſe meine arbeit in wenigſten nicht zuvergleichen jedoch weil ſolches von mir begeret worden in anſehung es noͤtig were zum offentlichen zeugnuͤß deß verſtorbenen herren warer gottſeligkeit vnd recht chriſtlichen abſchiedes wieder feindes mund der niemals den frommen vnd außerwehlten gottes etwas guttes nach zu ſagen pfleget sondern dieſelben auch nach jhrem tode ſchmaͤhet vnd zubeſorgen er werde dieſes frommen gottſeligen herren auch nicht ſchonen habe ich ſchuldiger pflicht vnd vnterthenigkeit nach auch offentlich etlicher maſſen zubezeugen mein danckbares gemuͤth gegen dem verſtorbenen ſeligem herren chriſtloͤblicher gedechtnuͤß der ſich in vielwege mehr den vaͤterlich das ich s g die zeit meines lebens danckbarlich nachruͤhmen muß gegen mir erzeiget mich am ſtudiren verleget vnd erhalten auch allezeit mein groſſer mecœnas vnd patronus geweſen solches nit koͤnnen nach ſollen wiederen sondern was da in offentlicher adelicher verſamlung abgeredet worden nu mehr auch in druck folgen laſſen,dasselbe habe ich nach dem mir gott seine gnade uerliehen in der adelichen leichbegengnuss weil der gute fromme alte herr der ehrwurdige und wolgelarte herr georgius mollerus loci ordinarius wegen seines hohen alters und damals leibes schwachheit diesen letzten dienst s g nicht leisten konnen erklaret und daraus erwiesen was wir uns zu trost uon diesem unserem nu mehr seeligen herren fur gedancken machen und einbilden sollen was auch menniglich der es horete uon s g urtheilenkonte nicht meinendt dz solche geringfugig arbeit in druck kommen solte als der ich mir meiner schwachheit wol bewust und fur mir sehe so uiel edele geistreiche schrifften mit welchen diese meine arbeit in wenigsten nicht zuuergleichen iedoch weil solches uon mir begeret worden in ansehung es notig were zum offentlichen zeugnuss dess uerstorbenen herren warer gottseligkeit und recht christlichen abschiedes wieder feindes mund der niemals den frommen und ausserwehlten gottes etwas guttes nach zu sagen pfleget sondern dieselben auch nach ihrem tode schmahet und zubesorgen er werde dieses frommen gottseligen herren auch nicht schonen habe ich schuldiger pflicht und unterthenigkeit nach auch offentlich etlicher massen zubezeugen mein danckbares gemuth gegen dem uerstorbenen seligem herren christloblicher gedechtnuss der sich in uielwege mehr den uaterlich das ich s g die zeit meines lebens danckbarlich nachruhmen muss gegen mir erzeiget mich am studiren uerleget und erhalten auch allezeit mein grosser mecoenas und patronus gewesen solches nit konnen nach sollen wiederen sondern was da in offentlicher adelicher uersamlung abgeredet worden nu mehr auch in druck folgen lassen
357469,body,6,0,True,4,"Euch aber Edle/ Geſtrenge/ Ehrentugentreiche Fraw/ Großguͤnſtige Fraw gevatter/ auch Edle/ Geſtrenge/ Ehrenveſte wolbenambte Herren/ Hochbemeltes verſtorbenen Herren/ Chriſtlicher gedechtnuß letzten willens Teſtamento wolverordnete Herren Executores, vornehme Patroni, habe ich es dediciren vnd zuſchreiben wollen/ zum theil wegen ſchuldiger danckbarkeit/ weil ich die anders auff jtzo nicht erkleren mag/ fuͤr E. G. ſaͤmptlich vnd ſonderlich geneigten goͤnſtigen willen/ auch vielfeltige wolthaͤtigkeiten/ zum theil weil E. G. groͤſtentheils bey dem ſeeligen End vnd Chriſtlichen abſcheid deß offt vnd hochgemelten Herren/ perſoͤnlich geweſen/ alles mit Augen geſehen/ vnd mit Ohren gehoͤret/ vnd alſo glaubwirdige lebendige zeugen ſein koͤnnen/ alles deß was dem wolverſtorbenen Herren zu ehren vnd billigem zeugnuß der warheit nachgeruͤhmet worden/ daß ich von mir ſelbſt nichts erdacht/ noch eigen maͤchtig vermehret/ ſondern alles in allem ſich warhafftig alſo verhalte/ wie es offentlich abgeredet/ vnd alhie verzeichnet worden.",euch aber edle geſtrenge ehrentugentreiche fraw großguͤnſtige fraw gevatter auch edle geſtrenge ehrenveſte wolbenambte herren hochbemeltes verſtorbenen herren chriſtlicher gedechtnuß letzten willens teſtamento wolverordnete herren executores vornehme patroni habe ich es dediciren vnd zuſchreiben wollen zum theil wegen ſchuldiger danckbarkeit weil ich die anders auff jtzo nicht erkleren mag fuͤr e g ſaͤmptlich vnd ſonderlich geneigten goͤnſtigen willen auch vielfeltige wolthaͤtigkeiten zum theil weil e g groͤſtentheils bey dem ſeeligen end vnd chriſtlichen abſcheid deß offt vnd hochgemelten herren perſoͤnlich geweſen alles mit augen geſehen vnd mit ohren gehoͤret vnd alſo glaubwirdige lebendige zeugen ſein koͤnnen alles deß was dem wolverſtorbenen herren zu ehren vnd billigem zeugnuß der warheit nachgeruͤhmet worden daß ich von mir ſelbſt nichts erdacht noch eigen maͤchtig vermehret ſondern alles in allem ſich warhafftig alſo verhalte wie es offentlich abgeredet vnd alhie verzeichnet worden,euch aber edle gestrenge ehrentugentreiche fraw grossgunstige fraw geuatter auch edle gestrenge ehrenueste wolbenambte herren hochbemeltes uerstorbenen herren christlicher gedechtnuss letzten willens testamento woluerordnete herren executores uornehme patroni habe ich es dediciren und zuschreiben wollen zum theil wegen schuldiger danckbarkeit weil ich die anders auff itzo nicht erkleren mag fur e g samptlich und sonderlich geneigten gonstigen willen auch uielfeltige wolthatigkeiten zum theil weil e g grostentheils bey dem seeligen end und christlichen abscheid dess offt und hochgemelten herren personlich gewesen alles mit augen gesehen und mit ohren gehoret und also glaubwirdige lebendige zeugen sein konnen alles dess was dem woluerstorbenen herren zu ehren und billigem zeugnuss der warheit nachgeruhmet worden dass ich uon mir selbst nichts erdacht noch eigen machtig uermehret sondern alles in allem sich warhafftig also uerhalte wie es offentlich abgeredet und alhie uerzeichnet worden
357469,body,7,0,False,4,E. G. hiemit ſaͤmptlich vnd ſonderlich goͤttlicher bewarung trewlich empfelende/ vnd neben reichem troſt der Seelen/ auch langwirjge beſtendige leibes geſundheit von hertzen wuͤnſchende/ mich daneben ſampt den meinigen deroſelben patrocinio vnd geneigten guͤnſten vnterthenigſt ergebende.,e g hiemit ſaͤmptlich vnd ſonderlich goͤttlicher bewarung trewlich empfelende vnd neben reichem troſt der seelen auch langwirjge beſtendige leibes geſundheit von hertzen wuͤnſchende mich daneben ſampt den meinigen deroſelben patrocinio vnd geneigten guͤnſten vnterthenigſt ergebende,e g hiemit samptlich und sonderlich gottlicher bewarung trewlich empfelende und neben reichem trost der seelen auch langwirige bestendige leibes gesundheit uon hertzen wunschende mich daneben sampt den meinigen deroselben patrocinio und geneigten gunsten unterthenigst ergebende
357469,body,7,1,False,4,Datum Claden Anno 1602. am tage Philippi vnd Jacobi/ an dem gepredigt wird vom Troſt der Himliſchen wonungen.,datum claden anno am tage philippi vnd jacobi an dem gepredigt wird vom troſt der himliſchen wonungen,datum claden anno am tage philippi und iacobi an dem gepredigt wird uom trost der himlischen wonungen
357469,body,7,2,False,4,Welchen Troſt der trew/ barmhertzige Gott krefftig vnd lebendig wolle ſein laſſen/ wie E. G. ſaͤmptlich/ alſo inſonderheit euch Großguͤnſtige Fraw gevatter in E. G. hoͤchſtem betruͤbnuͤß/ das E. G. gewis gleube/ derſelben ſeelige Herr ſey eingegangen durch den glauben/ vnd das feſte vertrawen auff Chriſtum ins hauß ſeines Himliſchen Vaters/ vnd genieſſe nu der frewden ſeines Herren/ vnd habe alſo E. G. nicht vrſache jhr mit uͤbrigem betruͤbnuß wehe zuthun.,welchen troſt der trew barmhertzige gott krefftig vnd lebendig wolle ſein laſſen wie e g ſaͤmptlich alſo inſonderheit euch großguͤnſtige fraw gevatter in e g hoͤchſtem betruͤbnuͤß das e g gewis gleube derſelben ſeelige herr ſey eingegangen durch den glauben vnd das feſte vertrawen auff chriſtum ins hauß ſeines himliſchen vaters vnd genieſſe nu der frewden ſeines herren vnd habe alſo e g nicht vrſache jhr mit uͤbrigem betruͤbnuß wehe zuthun,welchen trost der trew barmhertzige gott krefftig und lebendig wolle sein lassen wie e g samptlich also insonderheit euch grossgunstige fraw geuatter in e g hochstem betrubnuss das e g gewis gleube derselben seelige herr sey eingegangen durch den glauben und das feste uertrawen auff christum ins hauss seines himlischen uaters und geniesse nu der frewden seines herren und habe also e g nicht ursache ihr mit ubrigem betrubnuss wehe zuthun
357469,body,7,3,False,5,Den wie zwey Eheleuthe die beruffen ſint von jhren Schweer Eltern zum Gaſtmahl/ ob eines vor dem andern außgehet/ ſo iſt das hinterbliebene vnbeſorget.,den wie zwey eheleuthe die beruffen ſint von jhren schweer eltern zum gaſtmahl ob eines vor dem andern außgehet ſo iſt das hinterbliebene vnbeſorget,den wie zwey eheleuthe die beruffen sint uon ihren schweer eltern zum gastmahl ob eines uor dem andern aussgehet so ist das hinterbliebene unbesorget
357469,body,7,4,True,5,Den es weiß ſie werden inß Vaters Hauſe zuſamen kommen/ vnd das Maal halten/ Alſo gedencke E. G. ſie habe jhren geliebten Herren voran geſchickt ins Hauß jhres Vaters/ denn ſie weiß vnd hat mit augen geſehen/ den ſeeligen gang auß dieſem Elends thal/ da werden ſie beyde auff den algemeinen froͤlichen Himmelfarts tag zuſammen kommen/ vnd daß vnentliche ewige frewdenmahl/ dazu wir noch taͤglich durchs Evangelium beruffen vnd eingeladen werden/ genieſſen.,den es weiß ſie werden inß vaters hauſe zuſamen kommen vnd das maal halten alſo gedencke e g ſie habe jhren geliebten herren voran geſchickt ins hauß jhres vaters denn ſie weiß vnd hat mit augen geſehen den ſeeligen gang auß dieſem elends thal da werden ſie beyde auff den algemeinen froͤlichen himmelfarts tag zuſammen kommen vnd daß vnentliche ewige frewdenmahl dazu wir noch taͤglich durchs evangelium beruffen vnd eingeladen werden genieſſen,den es weiss sie werden inss uaters hause zusamen kommen und das maal halten also gedencke e g sie habe ihren geliebten herren uoran geschickt ins hauss ihres uaters denn sie weiss und hat mit augen gesehen den seeligen gang auss diesem elends thal da werden sie beyde auff den algemeinen frolichen himmelfarts tag zusammen kommen und dass unentliche ewige frewdenmahl dazu wir noch taglich durchs euangelium beruffen und eingeladen werden geniessen
357469,body,8,0,True,5,E. E. E. E. G. G. G. G. Vnterthenigſter Martin Fuͤſſel Gorl: Pfarrer zu Claden.,e e e e g g g g vnterthenigſter martin fuͤſſel gorl pfarrer zu claden,e e e e g g g g unterthenigster martin fussel gorl pfarrer zu claden
357469,head,9,0,True,6,Eingang.,eingang,eingang
357469,body,10,0,False,6,ANdechtige außerwehlten Gottes/ wir ſind alhier verſamlet ins Ruhebetlein einzulegen den hinterlaſſenen Coͤrper/ deß Weilandt Edlen Geſtrengen Ehrenveſten/ Hoch vnd wolbenambten Herren Joachim von Berge/ dreyer Roͤmiſcher Kayſer geweſenes Reichs/ Hoffrahts/ einer vornehmen Seulen gemeines Vaterlandes/ vnd der betruͤbten Kirchen Jeſu Chriſti/ welchen der getrewe barmhertzige Gott/ nach ſeinem vnwandelbarem allerweiſeſtem vnd beſtem Rhat/ in warer anruffug Gottes/ vnd ſtarckem vertrawen/ auff das verdienſt Jeſu Chriſti/ auß dieſem elenden Jammerthal/ abgefordert/ vnd zu ſich in ſein ewiges frewdenreich auffgenommen hat/ den 5. dieſes Monats Martij/ Abends nahe nach 9. vhr.,andechtige außerwehlten gottes wir ſind alhier verſamlet ins ruhebetlein einzulegen den hinterlaſſenen coͤrper deß weilandt edlen geſtrengen ehrenveſten hoch vnd wolbenambten herren joachim von berge dreyer roͤmiſcher kayſer geweſenes reichs hoffrahts einer vornehmen seulen gemeines vaterlandes vnd der betruͤbten kirchen jeſu chriſti welchen der getrewe barmhertzige gott nach ſeinem vnwandelbarem allerweiſeſtem vnd beſtem rhat in warer anruffug gottes vnd ſtarckem vertrawen auff das verdienſt jeſu chriſti auß dieſem elenden jammerthal abgefordert vnd zu ſich in ſein ewiges frewdenreich auffgenommen hat den dieſes monats martij abends nahe nach vhr,andechtige ausserwehlten gottes wir sind alhier uersamlet ins ruhebetlein einzulegen den hinterlassenen corper dess weilandt edlen gestrengen ehrenuesten hoch und wolbenambten herren ioachim uon berge dreyer romischer kayser gewesenes reichs hoffrahts einer uornehmen seulen gemeines uaterlandes und der betrubten kirchen iesu christi welchen der getrewe barmhertzige gott nach seinem unwandelbarem allerweisestem und bestem rhat in warer anruffug gottes und starckem uertrawen auff das uerdienst iesu christi auss diesem elenden iammerthal abgefordert und zu sich in sein ewiges frewdenreich auffgenommen hat den dieses monats martii abends nahe nach uhr
357469,body,10,1,False,6,Vnd wir auff ſeinen toͤdtlichen abgang/ wann wir bedencken ſein leben vnd wandel/ nicht vnbillich ziehen moͤgen den Spruch Eſaię 57. v. 1. Der gerechte kompt vmb/ vnd niemand iſt der es zu Hertzen nehme/ vnd heilige Leuthe werden auffgerafft/ vnd niemand achtet darauff.,vnd wir auff ſeinen toͤdtlichen abgang wann wir bedencken ſein leben vnd wandel nicht vnbillich ziehen moͤgen den spruch eſaię v der gerechte kompt vmb vnd niemand iſt der es zu hertzen nehme vnd heilige leuthe werden auffgerafft vnd niemand achtet darauff,und wir auff seinen todtlichen abgang wann wir bedencken sein leben und wandel nicht unbillich ziehen mogen den spruch esaie u der gerechte kompt umb und niemand ist der es zu hertzen nehme und heilige leuthe werden auffgerafft und niemand achtet darauff
357469,body,10,2,False,6,Den die gerechten werden weg gerafft vor dem vngluͤck/ vnd die richtig fuͤr ſich gewandelt haben/ kommen zum friede/ vnd ruhen in jhren kammern.,den die gerechten werden weg gerafft vor dem vngluͤck vnd die richtig fuͤr ſich gewandelt haben kommen zum friede vnd ruhen in jhren kammern,den die gerechten werden weg gerafft uor dem ungluck und die richtig fur sich gewandelt haben kommen zum friede und ruhen in ihren kammern
357469,body,10,3,True,6,Damit der Prophet lehret/ wie ein fromer Haußvater/ wen er ſihet/ das ein wetter auffzeucht/ mit dem beſten getreide ins trucken eilet/ alſo pfleget Gott zur zeit ſeines entlichen zorns/ wen er den vber ein Landt/ Stadt/ Dorff/ ergehen laſſen wil/ die vornembſten haupter/ die fromen vnd glaubigen Chriſten zur ruhe zu bringen/ vnd eilet mit jnen wie ein Haußvater mit der guten garben/ welches die Exempel Nohe vnd Loth ſampt den jrigen außweiſen.,damit der prophet lehret wie ein fromer haußvater wen er ſihet das ein wetter auffzeucht mit dem beſten getreide ins trucken eilet alſo pfleget gott zur zeit ſeines entlichen zorns wen er den vber ein landt stadt dorff ergehen laſſen wil die vornembſten haupter die fromen vnd glaubigen chriſten zur ruhe zu bringen vnd eilet mit jnen wie ein haußvater mit der guten garben welches die exempel nohe vnd loth ſampt den jrigen außweiſen,damit der prophet lehret wie ein fromer haussuater wen er sihet das ein wetter auffzeucht mit dem besten getreide ins trucken eilet also pfleget gott zur zeit seines entlichen zorns wen er den uber ein landt stadt dorff ergehen lassen wil die uornembsten haupter die fromen und glaubigen christen zur ruhe zu bringen und eilet mit inen wie ein haussuater mit der guten garben welches die exempel nohe und loth sampt den irigen aussweisen
357469,body,11,0,False,6,Auch wen wir bedencken merita publica & privata welch ein groſſer werckzeug Gottes in Geiſtlichen vnd weltlichen Regiment der Edele Herꝛ geweſen/ haben wir vrſach zu klagen mit Jeremia dem Propheten in klageliedern am 5. c. v. 15. Vnſers hertzen frewde hat ein ende/ vnſer Reyhen iſt in weheklage verkehret/ die Kron vnſers haups iſt abgefallen/ o wehe das wir ſo geſuͤndiget haben.,auch wen wir bedencken merita publica & privata welch ein groſſer werckzeug gottes in geiſtlichen vnd weltlichen regiment der edele herꝛ geweſen haben wir vrſach zu klagen mit jeremia dem propheten in klageliedern am c v vnſers hertzen frewde hat ein ende vnſer reyhen iſt in weheklage verkehret die kron vnſers haups iſt abgefallen o wehe das wir ſo geſuͤndiget haben,auch wen wir bedencken merita publica et priuata welch ein grosser werckzeug gottes in geistlichen und weltlichen regiment der edele her gewesen haben wir ursach zu klagen mit ieremia dem propheten in klageliedern am c u unsers hertzen frewde hat ein ende unser reyhen ist in weheklage uerkehret die kron unsers haups ist abgefallen o wehe das wir so gesundiget haben
