doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12176,head,0,0,True,,Interlocutores:,interlocutores,interlocutores
12176,body,1,0,True,,"Reverendissimus dominus Cardinalis Sancti Petri et Petrus de Ercklentz tunc temporis canonicus, postea decanus ecclesiae beatae Mariae Aquensis Leodiensis diocesis.",reverendissimus dominus cardinalis sancti petri et petrus de ercklentz tunc temporis canonicus postea decanus ecclesiae beatae mariae aquensis leodiensis diocesis,reuerendissimus dominus cardinalis sancti petri et petrus de ercklentz tunc temporis canonicus postea decanus ecclesiae beatae mariae aquensis leodiensis diocesis
12176,body,2,0,True,,Petrus:,petrus,petrus
12176,body,3,0,False,,"Video te quadam profunda meditatione aliquot dies raptum adeo quod timui tibi molestior fieri, si te quaestionibus de occurrentibus pulsarem.",video te quadam profunda meditatione aliquot dies raptum adeo quod timui tibi molestior fieri si te quaestionibus de occurrentibus pulsarem,uideo te quadam profunda meditatione aliquot dies raptum adeo quod timui tibi molestior fieri si te quaestionibus de occurrentibus pulsarem
12176,body,3,1,True,,"Nunc, cum te minus intentum et quasi magni aliquid invenisses laetum reperiam, ignosces spero, si ultra solitum te interrogavero.",nunc cum te minus intentum et quasi magni aliquid invenisses laetum reperiam ignosces spero si ultra solitum te interrogavero,nunc cum te minus intentum et quasi magni aliquid inuenisses laetum reperiam ignosces spero si ultra solitum te interrogauero
12176,body,4,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,5,0,False,,Gaudebo.,gaudebo,gaudebo
12176,body,5,1,False,,"Nam de tua tam longa taciturnitate saepe admiratus sum, maxime qui iam annis quattuordecim me audisti multa publice et private de studiosis inventionibus loquentem et plura quae scripsi opuscula collogisti.",nam de tua tam longa taciturnitate saepe admiratus sum maxime qui iam annis quattuordecim me audisti multa publice et private de studiosis inventionibus loquentem et plura quae scripsi opuscula collogisti,nam de tua tam longa taciturnitate saepe admiratus sum maxime qui iam annis quattuordecim me audisti multa publice et priuate de studiosis inuentionibus loquentem et plura quae scripsi opuscula collogisti
12176,body,5,2,True,,"Utique, postquam nunc dono dei et meo ministerio divinum adeptus es sacratissimi sacerdotii locum, tempus venit, ut loqui et interrogare incipias.",utique postquam nunc dono dei et meo ministerio divinum adeptus es sacratissimi sacerdotii locum tempus venit ut loqui et interrogare incipias,utique postquam nunc dono dei et meo ministerio diuinum adeptus es sacratissimi sacerdotii locum tempus uenit ut loqui et interrogare incipias
12176,body,6,0,True,,Petrus:,petrus,petrus
12176,body,7,0,False,,Verecundor ob imperitiam.,verecundor ob imperitiam,uerecundor ob imperitiam
12176,body,7,1,False,,"Tamen pietate tua confortatus peto, quid id novi est, quod his Paschalibus in meditationem venit.",tamen pietate tua confortatus peto quid id novi est quod his paschalibus in meditationem venit,tamen pietate tua confortatus peto quid id noui est quod his paschalibus in meditationem uenit
12176,body,7,2,True,,Credidi te perfecisse omnem speculationem in tot variis tuis codicibus explanatam.,credidi te perfecisse omnem speculationem in tot variis tuis codicibus explanatam,credidi te perfecisse omnem speculationem in tot uariis tuis codicibus explanatam
12176,body,8,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,9,0,True,,"Si apostolus Paulus in tertium caelum raptus nondum comprehendit incomprehensibilem, nemo umquam ipsum qui maior est omni comprehensioni satiabitur quin semper instet, ut melius comprehendat.",si apostolus paulus in tertium caelum raptus nondum comprehendit incomprehensibilem nemo umquam ipsum qui maior est omni comprehensioni satiabitur quin semper instet ut melius comprehendat,si apostolus paulus in tertium caelum raptus nondum comprehendit incomprehensibilem nemo umquam ipsum qui maior est omni comprehensioni satiabitur quin semper instet ut melius comprehendat
12176,body,10,0,True,,Petrus:,petrus,petrus
12176,body,11,0,True,,Quid quaeris?,quid quaeris,quid quaeris
12176,body,12,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,13,0,True,,Recte ais.,recte ais,recte ais
12176,body,14,0,True,,Petrus:,petrus,petrus
12176,body,15,0,False,,"Ego te interrogo, et tu me derides.",ego te interrogo et tu me derides,ego te interrogo et tu me derides
12176,body,15,1,True,,"Cum peto, quid quaeras, tu dicis «recte ais», qui nihil aio, sed quaero.",cum peto quid quaeras tu dicis recte ais qui nihil aio sed quaero,cum peto quid quaeras tu dicis recte ais qui nihil aio sed quaero
12176,body,16,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,17,0,False,,"Cum diceres «quid quaeris», recte dixisti, quia quid quaero.",cum diceres quid quaeris recte dixisti quia quid quaero,cum diceres quid quaeris recte dixisti quia quid quaero
12176,body,17,1,False,,Quicumque quaerit quid quaerit.,quicumque quaerit quid quaerit,quicumque quaerit quid quaerit
12176,body,17,2,False,,"Si enim nec aliquid seu quid quaereret, utique non quaereret.",si enim nec aliquid seu quid quaereret utique non quaereret,si enim nec aliquid seu quid quaereret utique non quaereret
12176,body,17,3,True,,"Ego igitur – sicut omnes studiosi – quaero quid, quia scire valde cupio, quid sit ipsum quid seu quiditas, quae tantopere quaeritur.",ego igitur sicut omnes studiosi quaero quid quia scire valde cupio quid sit ipsum quid seu quiditas quae tantopere quaeritur,ego igitur sicut omnes studiosi quaero quid quia scire ualde cupio quid sit ipsum quid seu quiditas quae tantopere quaeritur
12176,body,18,0,True,,Petrus:,petrus,petrus
12176,body,19,0,True,,Putasne quod reperiri possit?,putasne quod reperiri possit,putasne quod reperiri possit
12176,body,20,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,21,0,False,,Utique.,utique,utique
12176,body,21,1,True,,"Nam motus, qui omnibus studiosis adest, non est frustra.",nam motus qui omnibus studiosis adest non est frustra,nam motus qui omnibus studiosis adest non est frustra
12176,body,22,0,True,,Petrus:,petrus,petrus
12176,body,23,0,True,,"Si hactenus nemo repperit quid, ultra cunctos tu conaris?",si hactenus nemo repperit quid ultra cunctos tu conaris,si hactenus nemo repperit quid ultra cunctos tu conaris
12176,body,24,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,25,0,False,,Puto multos aliqualiter et vidisse et in scriptis visionem reliquisse.,puto multos aliqualiter et vidisse et in scriptis visionem reliquisse,puto multos aliqualiter et uidisse et in scriptis uisionem reliquisse
12176,body,25,1,False,,"Nam quiditas, quae semper quaesita est et quaeritur et quaeretur, si esset penitus ignota, quomodo quaereretur, quando etiam reperta maneret incognita?",nam quiditas quae semper quaesita est et quaeritur et quaeretur si esset penitus ignota quomodo quaereretur quando etiam reperta maneret incognita,nam quiditas quae semper quaesita est et quaeritur et quaeretur si esset penitus ignota quomodo quaereretur quando etiam reperta maneret incognita
12176,body,25,2,True,,"Ideo aiebat quidam sapiens ipsam ab omnibus, licet a remotis, videri.",ideo aiebat quidam sapiens ipsam ab omnibus licet a remotis videri,ideo aiebat quidam sapiens ipsam ab omnibus licet a remotis uideri
12176,body,26,0,False,,"Cum igitur annis multis viderim ipsam ultra omnem potentiam cognitivam ante omnem varietatem et oppositionem quaeri oportere, non attendi quiditatem in se subsistentem esse omnium substantiarum invariabilem subsistentiam; ideo nec multiplicabilem nec plurificabilem, et hinc non aliam et aliam aliorum entium quiditatem, sed eandem omnium hypostasim.",cum igitur annis multis viderim ipsam ultra omnem potentiam cognitivam ante omnem varietatem et oppositionem quaeri oportere non attendi quiditatem in se subsistentem esse omnium substantiarum invariabilem subsistentiam ideo nec multiplicabilem nec plurificabilem et hinc non aliam et aliam aliorum entium quiditatem sed eandem omnium hypostasim,cum igitur annis multis uiderim ipsam ultra omnem potentiam cognitiuam ante omnem uarietatem et oppositionem quaeri oportere non attendi quiditatem in se subsistentem esse omnium substantiarum inuariabilem subsistentiam ideo nec multiplicabilem nec plurificabilem et hinc non aliam et aliam aliorum entium quiditatem sed eandem omnium hypostasim
12176,body,26,1,False,,Deinde vidi necessario fateri ipsam rerum hypostasim seu subsistentiam posse esse.,deinde vidi necessario fateri ipsam rerum hypostasim seu subsistentiam posse esse,deinde uidi necessario fateri ipsam rerum hypostasim seu subsistentiam posse esse
12176,body,26,2,False,,"Et quia potest esse, utique sine posse ipso non potest esse.",et quia potest esse utique sine posse ipso non potest esse,et quia potest esse utique sine posse ipso non potest esse
12176,body,26,3,False,,Quomodo enim sine posse posset.,quomodo enim sine posse posset,quomodo enim sine posse posset
12176,body,26,4,False,,"Ideo posse ipsum, sine quo nihil quicquam potest, est quo nihil subsistentius esse potest.",ideo posse ipsum sine quo nihil quicquam potest est quo nihil subsistentius esse potest,ideo posse ipsum sine quo nihil quicquam potest est quo nihil subsistentius esse potest
12176,body,26,5,False,,"Quare est ipsum quid quaesitum seu quiditas ipsa, sine qua non potest esse quicquam.",quare est ipsum quid quaesitum seu quiditas ipsa sine qua non potest esse quicquam,quare est ipsum quid quaesitum seu quiditas ipsa sine qua non potest esse quicquam
12176,body,26,6,True,,Et circa hanc theoriam in his festivitatibus versatus sum cum ingenti delectatione.,et circa hanc theoriam in his festivitatibus versatus sum cum ingenti delectatione,et circa hanc theoriam in his festiuitatibus uersatus sum cum ingenti delectatione
12176,body,27,0,True,,Petrus:,petrus,petrus
12176,body,28,0,False,,"Quia sine posse nihil quicquam potest, uti ais – et verum te dicere video –, et sine quiditate utique non est quicquam, bene video posse ipsum quiditatem dici posse.",quia sine posse nihil quicquam potest uti ais et verum te dicere video et sine quiditate utique non est quicquam bene video posse ipsum quiditatem dici posse,quia sine posse nihil quicquam potest uti ais et uerum te dicere uideo et sine quiditate utique non est quicquam bene uideo posse ipsum quiditatem dici posse
12176,body,28,1,True,,"Sed miror, cum iam ante de possest multa dixisses et in trialogo explanasses, cur illa non sufficiunt?",sed miror cum iam ante de possest multa dixisses et in trialogo explanasses cur illa non sufficiunt,sed miror cum iam ante de possest multa dixisses et in trialogo explanasses cur illa non sufficiunt
12176,body,29,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,30,0,False,,"Videbis infra posse ipsum, quo nihil potentius nec prius nec melius esse potest, longe aptius nominare illud, sine quo nihil quicquam potest esse nec vivere nec intelligere, quam possest aut aliud quodcumque vocabulum.",videbis infra posse ipsum quo nihil potentius nec prius nec melius esse potest longe aptius nominare illud sine quo nihil quicquam potest esse nec vivere nec intelligere quam possest aut aliud quodcumque vocabulum,uidebis infra posse ipsum quo nihil potentius nec prius nec melius esse potest longe aptius nominare illud sine quo nihil quicquam potest esse nec uiuere nec intelligere quam possest aut aliud quodcumque uocabulum
12176,body,30,1,False,,"Si enim nominari potest, utique posse ipsum, quo nihil perfectius esse potest, melius ipsum nominabit.",si enim nominari potest utique posse ipsum quo nihil perfectius esse potest melius ipsum nominabit,si enim nominari potest utique posse ipsum quo nihil perfectius esse potest melius ipsum nominabit
12176,body,30,2,True,,"Nec aliud clarius, verius aut facilius nomen dabile credo.",nec aliud clarius verius aut facilius nomen dabile credo,nec aliud clarius uerius aut facilius nomen dabile credo
12176,body,31,0,True,,Petrus:,petrus,petrus
12176,body,32,0,True,,"Quomodo ais facilius, quando nihil difficilius arbitror re semper quaesita et numquam plene inventa?",quomodo ais facilius quando nihil difficilius arbitror re semper quaesita et numquam plene inventa,quomodo ais facilius quando nihil difficilius arbitror re semper quaesita et numquam plene inuenta
12176,body,33,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,34,0,False,,Veritas quanto clarior tanto facilior.,veritas quanto clarior tanto facilior,ueritas quanto clarior tanto facilior
12176,body,34,1,False,,Putabam ego aliquando ipsam in obscuro melius reperiri.,putabam ego aliquando ipsam in obscuro melius reperiri,putabam ego aliquando ipsam in obscuro melius reperiri
12176,body,34,2,False,,"Magnae potentiae veritas est, in qua posse ipsum valde lucet.",magnae potentiae veritas est in qua posse ipsum valde lucet,magnae potentiae ueritas est in qua posse ipsum ualde lucet
12176,body,34,3,False,,"Clamitat enim in plateis, sicut in libello «de idiota» legisti.",clamitat enim in plateis sicut in libello de idiota legisti,clamitat enim in plateis sicut in libello de idiota legisti
12176,body,34,4,True,,Valde certe se undique facilem repertu ostendit.,valde certe se undique facilem repertu ostendit,ualde certe se undique facilem repertu ostendit
12176,body,35,0,False,,"Quis puer aut adolescens posse ipsum ignorat, quando quisque dicit se posse comedere, posse currere aut loqui?",quis puer aut adolescens posse ipsum ignorat quando quisque dicit se posse comedere posse currere aut loqui,quis puer aut adolescens posse ipsum ignorat quando quisque dicit se posse comedere posse currere aut loqui
12176,body,35,1,False,,"Nec est quisquam mentem habens adeo ignarus, qui non sciat sine magistro nihil esse quin possit esse, et quod sine posse nihil quicquam potest sive esse sive habere, facere aut pati.",nec est quisquam mentem habens adeo ignarus qui non sciat sine magistro nihil esse quin possit esse et quod sine posse nihil quicquam potest sive esse sive habere facere aut pati,nec est quisquam mentem habens adeo ignarus qui non sciat sine magistro nihil esse quin possit esse et quod sine posse nihil quicquam potest siue esse siue habere facere aut pati
12176,body,35,2,False,,"Quis adolescens, interrogatus si posset portare lapidem, et responso facto quod posset, ultra interrogatus an sine posse posset, utique diceret «nequaquam»?",quis adolescens interrogatus si posset portare lapidem et responso facto quod posset ultra interrogatus an sine posse posset utique diceret nequaquam,quis adolescens interrogatus si posset portare lapidem et responso facto quod posset ultra interrogatus an sine posse posset utique diceret nequaquam
12176,body,35,3,True,,"Nam absurdam iudicaret atque superfluam interrogationem, quasi nemo sanae mentis dubium de hoc faceret quicquam facere aut fieri posse sine posse ipso.",nam absurdam iudicaret atque superfluam interrogationem quasi nemo sanae mentis dubium de hoc faceret quicquam facere aut fieri posse sine posse ipso,nam absurdam iudicaret atque superfluam interrogationem quasi nemo sanae mentis dubium de hoc faceret quicquam facere aut fieri posse sine posse ipso
12176,body,36,0,False,,"Praesupponit enim omnis potens posse ipsum adeo necessarium, quod penitus nihil esse possit eo non praesupposito.",praesupponit enim omnis potens posse ipsum adeo necessarium quod penitus nihil esse possit eo non praesupposito,praesupponit enim omnis potens posse ipsum adeo necessarium quod penitus nihil esse possit eo non praesupposito
12176,body,36,1,False,,"Si enim aliquid potest esse notum, utique ipsi posse nihil notius.",si enim aliquid potest esse notum utique ipsi posse nihil notius,si enim aliquid potest esse notum utique ipsi posse nihil notius
12176,body,36,2,False,,"Si aliquid facile esse potest, utique ipsi posse nihil facilius.",si aliquid facile esse potest utique ipsi posse nihil facilius,si aliquid facile esse potest utique ipsi posse nihil facilius
12176,body,36,3,False,,"Si aliquid certum esse potest, posse ipso nihil certius.",si aliquid certum esse potest posse ipso nihil certius,si aliquid certum esse potest posse ipso nihil certius
12176,body,36,4,False,,"Sic nec prius nec fortius nec solidius nec substantialius nec gloriosius, et ita de cunctis.",sic nec prius nec fortius nec solidius nec substantialius nec gloriosius et ita de cunctis,sic nec prius nec fortius nec solidius nec substantialius nec gloriosius et ita de cunctis
12176,body,36,5,True,,Carens autem ipso posse nec potest esse nec bonum nec aliud quodcumque esse potest.,carens autem ipso posse nec potest esse nec bonum nec aliud quodcumque esse potest,carens autem ipso posse nec potest esse nec bonum nec aliud quodcumque esse potest
12176,body,37,0,True,,Petrus:,petrus,petrus
12176,body,38,0,True,,"Nihil certius his video, et puto neminem latere posse horum veritatem.",nihil certius his video et puto neminem latere posse horum veritatem,nihil certius his uideo et puto neminem latere posse horum ueritatem
12176,body,39,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,40,0,False,,Solum interest inter te et me attentio.,solum interest inter te et me attentio,solum interest inter te et me attentio
12176,body,40,1,True,,"Nam si te interrogarem, quid videres in omnibus posteris Adae qui fuerunt, sunt et erunt, etiam si forent infiniti, nonne si attenderes statim responderes te non nisi paternum posse primi parentis in omnibus videre?",nam si te interrogarem quid videres in omnibus posteris adae qui fuerunt sunt et erunt etiam si forent infiniti nonne si attenderes statim responderes te non nisi paternum posse primi parentis in omnibus videre,nam si te interrogarem quid uideres in omnibus posteris adae qui fuerunt sunt et erunt etiam si forent infiniti nonne si attenderes statim responderes te non nisi paternum posse primi parentis in omnibus uidere
12176,body,41,0,True,,Petrus:,petrus,petrus
12176,body,42,0,True,,Ita est penitus.,ita est penitus,ita est penitus
12176,body,43,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,44,0,True,,"Et si subiungerem, quid in leonibus et aquilis et cunctis speciebus animalium videres, nonne eodem modo responderes?",et si subiungerem quid in leonibus et aquilis et cunctis speciebus animalium videres nonne eodem modo responderes,et si subiungerem quid in leonibus et aquilis et cunctis speciebus animalium uideres nonne eodem modo responderes
12176,body,45,0,True,,Petrus:,petrus,petrus
12176,body,46,0,True,,Certe non aliter.,certe non aliter,certe non aliter
12176,body,47,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,48,0,True,,Quid in omnibus causatis et principiatis?,quid in omnibus causatis et principiatis,quid in omnibus causatis et principiatis
12176,body,49,0,True,,Petrus:,petrus,petrus
12176,body,50,0,True,,Dicerem me non nisi posse causae primae et primi principii videre.,dicerem me non nisi posse causae primae et primi principii videre,dicerem me non nisi posse causae primae et primi principii uidere
12176,body,51,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,52,0,False,,"Et quid, si ulterius a te sciscitarer, cum posse omnium talium primorum sit penitus inexplicabile, unde posse tale hanc habeat virtutem?",et quid si ulterius a te sciscitarer cum posse omnium talium primorum sit penitus inexplicabile unde posse tale hanc habeat virtutem,et quid si ulterius a te sciscitarer cum posse omnium talium primorum sit penitus inexplicabile unde posse tale hanc habeat uirtutem
12176,body,52,1,True,,"Nonne mox responderes, quod a posse ipso absoluto et incontracto penitus omnipotente, cui nihil potentius nec sentiri nec imaginari nec intelligi potest, cum hoc sit posse omnis posse, quo nihil prius esse potest nec perfectius, quo non existente nihil penitus manere potest?",nonne mox responderes quod a posse ipso absoluto et incontracto penitus omnipotente cui nihil potentius nec sentiri nec imaginari nec intelligi potest cum hoc sit posse omnis posse quo nihil prius esse potest nec perfectius quo non existente nihil penitus manere potest,nonne mox responderes quod a posse ipso absoluto et incontracto penitus omnipotente cui nihil potentius nec sentiri nec imaginari nec intelligi potest cum hoc sit posse omnis posse quo nihil prius esse potest nec perfectius quo non existente nihil penitus manere potest
12176,body,53,0,True,,Petrus:,petrus,petrus
12176,body,54,0,True,,Ita profecto dicerem.,ita profecto dicerem,ita profecto dicerem
12176,body,55,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,56,0,False,,"Hinc posse ipsum est omnium quiditas et hypostasis, in cuius potestate tam ea quae sunt quam ea quae non sunt necessario continentur.",hinc posse ipsum est omnium quiditas et hypostasis in cuius potestate tam ea quae sunt quam ea quae non sunt necessario continentur,hinc posse ipsum est omnium quiditas et hypostasis in cuius potestate tam ea quae sunt quam ea quae non sunt necessario continentur
12176,body,56,1,True,,Nonne haec omnino sic affirmanda diceres?,nonne haec omnino sic affirmanda diceres,nonne haec omnino sic affirmanda diceres
12176,body,57,0,True,,Petrus:,petrus,petrus
12176,body,58,0,True,,Omnino dicerem.,omnino dicerem,omnino dicerem
12176,body,59,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,60,0,False,,"Posse igitur ipsius per quosdam sanctos lux nominatur, non sensibilis aut rationalis sive intelligibilis, sed lux omnium quae lucere possunt, quoniam ipso posse nihil lucidius esse potest nec clarius nec pulchrius.",posse igitur ipsius per quosdam sanctos lux nominatur non sensibilis aut rationalis sive intelligibilis sed lux omnium quae lucere possunt quoniam ipso posse nihil lucidius esse potest nec clarius nec pulchrius,posse igitur ipsius per quosdam sanctos lux nominatur non sensibilis aut rationalis siue intelligibilis sed lux omnium quae lucere possunt quoniam ipso posse nihil lucidius esse potest nec clarius nec pulchrius
12176,body,60,1,False,,"Respicias igitur ad lucem sensibilem, sine qua non potest esse sensibilis visio, et attende quomodo in omni colore et omni visibili nulla est alia hypostasis quam lux varie in variis essendi modis colorum apparens, ac quod luce subtracta nec color nec visibile nec visus manere potest.",respicias igitur ad lucem sensibilem sine qua non potest esse sensibilis visio et attende quomodo in omni colore et omni visibili nulla est alia hypostasis quam lux varie in variis essendi modis colorum apparens ac quod luce subtracta nec color nec visibile nec visus manere potest,respicias igitur ad lucem sensibilem sine qua non potest esse sensibilis uisio et attende quomodo in omni colore et omni uisibili nulla est alia hypostasis quam lux uarie in uariis essendi modis colorum apparens ac quod luce subtracta nec color nec uisibile nec uisus manere potest
12176,body,60,2,False,,"Claritas vero lucis, ut in se est, visivam potentiam excellit.",claritas vero lucis ut in se est visivam potentiam excellit,claritas uero lucis ut in se est uisiuam potentiam excellit
12176,body,60,3,False,,"Non igitur videtur, uti est, sed in visibilibus se manifestat, in uno clarius, in alio obscurius.",non igitur videtur uti est sed in visibilibus se manifestat in uno clarius in alio obscurius,non igitur uidetur uti est sed in uisibilibus se manifestat in uno clarius in alio obscurius
12176,body,60,4,False,,"Et quanto visibile magis clare lucem repraesentat, tanto nobilius et pulchrius.",et quanto visibile magis clare lucem repraesentat tanto nobilius et pulchrius,et quanto uisibile magis clare lucem repraesentat tanto nobilius et pulchrius
12176,body,60,5,False,,Lux vero omnium visibilium claritatem et pulchritudinem complicat et excellit.,lux vero omnium visibilium claritatem et pulchritudinem complicat et excellit,lux uero omnium uisibilium claritatem et pulchritudinem complicat et excellit
12176,body,60,6,False,,"Nec lux se in visibilibus manifestat, ut se visibilem ostendat, immo ut potius se invisibilem manifestet, quando in visibilibus eius claritas capi nequit.",nec lux se in visibilibus manifestat ut se visibilem ostendat immo ut potius se invisibilem manifestet quando in visibilibus eius claritas capi nequit,nec lux se in uisibilibus manifestat ut se uisibilem ostendat immo ut potius se inuisibilem manifestet quando in uisibilibus eius claritas capi nequit
12176,body,60,7,False,,"Qui enim claritatem lucis in visibilibus invisibilem videt, verius ipsam videt.",qui enim claritatem lucis in visibilibus invisibilem videt verius ipsam videt,qui enim claritatem lucis in uisibilibus inuisibilem uidet uerius ipsam uidet
12176,body,60,8,True,,Capisne ista?,capisne ista,capisne ista
12176,body,61,0,True,,Petrus:,petrus,petrus
12176,body,62,0,True,,"Eo facilius capio, quo a te pluries haec audivi.",eo facilius capio quo a te pluries haec audivi,eo facilius capio quo a te pluries haec audiui
12176,body,63,0,True,,Cardinalis:,cardinalis,cardinalis
12176,body,64,0,False,,"Transfer igitur haec sensibilia ad intelligibilia, puta posse lucis ad posse simpliciter seu posse ipsum absolutum et esse coloris ad esse simplex.",transfer igitur haec sensibilia ad intelligibilia puta posse lucis ad posse simpliciter seu posse ipsum absolutum et esse coloris ad esse simplex,transfer igitur haec sensibilia ad intelligibilia puta posse lucis ad posse simpliciter seu posse ipsum absolutum et esse coloris ad esse simplex
12176,body,64,1,False,,"Nam ita se habet esse simplex sola mente visibile ad mentem, sicut esse coloris ad sensum visus.",nam ita se habet esse simplex sola mente visibile ad mentem sicut esse coloris ad sensum visus,nam ita se habet esse simplex sola mente uisibile ad mentem sicut esse coloris ad sensum uisus
