doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
508450,head,0,0,True,1,Leichpredigt Ob dem Chriſtlichen Begrebniß/ des Achtbaren/ Erbarn/ Wolgelarten vnd Wolweyſen Herren Magiſtri Joannis Starcken von Oxenfurt/ Der K: Stadt Budiſſin/ im Marggraffthumb Ober Lauſſitz/ alten Buͤrgermeiſters/ Welcher in Gott ſeliglich verſchieden/ am Freytag nach Galli/ den 17. Octobris/ vmb 10. vhr nach Mittage/ vnd Chriſtlich daſelbſt begraben zum Taucher/ am 21. Sontag nach Trinitatis/ den 19. Octobris. In welcher Predigt/ kurtz vnnd einfeltig erkleret wird/ der ſpruch Eſaiæ am 56. cap. Der Gerechte koͤmpt vmb/ vnd iſt niemand der es zu hertzen nimpt etc. Gethan vnd beſchrieben/ Alles in dieſem lauffenden 1578. Jahre. Durch Laurentium Dreſſerum Gircauienſem/ Seniorem: Wolgedachter Stadt Budiſſin Euangeliſcher Prediger.,leichpredigt ob dem chriſtlichen begrebniß des achtbaren erbarn wolgelarten vnd wolweyſen herren magiſtri joannis starcken von oxenfurt der k stadt budiſſin im marggraffthumb ober lauſſitz alten buͤrgermeiſters welcher in gott ſeliglich verſchieden am freytag nach galli den octobris vmb vhr nach mittage vnd chriſtlich daſelbſt begraben zum taucher am sontag nach trinitatis den octobris in welcher predigt kurtz vnnd einfeltig erkleret wird der ſpruch eſaiæ am cap der gerechte koͤmpt vmb vnd iſt niemand der es zu hertzen nimpt etc gethan vnd beſchrieben alles in dieſem lauffenden jahre durch laurentium dreſſerum gircauienſem seniorem wolgedachter stadt budiſſin euangeliſcher prediger,leichpredigt ob dem christlichen begrebniss des achtbaren erbarn wolgelarten und wolweysen herren magistri ioannis starcken uon oxenfurt der k stadt budissin im marggraffthumb ober laussitz alten burgermeisters welcher in gott seliglich uerschieden am freytag nach galli den octobris umb uhr nach mittage und christlich daselbst begraben zum taucher am sontag nach trinitatis den octobris in welcher predigt kurtz unnd einfeltig erkleret wird der spruch esaiae am cap der gerechte kompt umb und ist niemand der es zu hertzen nimpt etc gethan und beschrieben alles in diesem lauffenden iahre durch laurentium dresserum gircauiensem seniorem wolgedachter stadt budissin euangelischer prediger
508450,body,1,0,True,2,Allen vnnd Jetzlithen Erbaren Buͤrgern vnnd Jnwonern der gantzen Chriſtlichen Gemein der K: Stadt Budiſſin/ Jm Marggraffthumb Ober Laußitz/ Seinen befohlnen Chriſtlichen hertzgeliebten Kirchkindern vñ zuhoͤrern/ Wuͤntzſchet von hertzen/ Laurentius Dreſſerus Gircauienſis der Eltere/ Jhr Euangeliſcher Prediger/ vnd Seelſorger/ Neben ſeinem Gebet vnd gering vermoͤglichen ſchuͤldigen vnd willigen dienſten/ Gottes gnade vnd Segen in Chriſto/ vnd alle beſtendige wohlfart vnd gedeyen an Leib vnd Seele.,allen vnnd jetzlithen erbaren buͤrgern vnnd jnwonern der gantzen chriſtlichen gemein der k stadt budiſſin jm marggraffthumb ober laußitz seinen befohlnen chriſtlichen hertzgeliebten kirchkindern vñ zuhoͤrern wuͤntzſchet von hertzen laurentius dreſſerus gircauienſis der eltere jhr euangeliſcher prediger vnd seelſorger neben ſeinem gebet vnd gering vermoͤglichen ſchuͤldigen vnd willigen dienſten gottes gnade vnd segen in chriſto vnd alle beſtendige wohlfart vnd gedeyen an leib vnd seele,allen unnd ietzlithen erbaren burgern unnd inwonern der gantzen christlichen gemein der k stadt budissin im marggraffthumb ober laussitz seinen befohlnen christlichen hertzgeliebten kirchkindern und zuhorern wuntzschet uon hertzen laurentius dresserus gircauiensis der eltere ihr euangelischer prediger und seelsorger neben seinem gebet und gering uermoglichen schuldigen und willigen diensten gottes gnade und segen in christo und alle bestendige wohlfart und gedeyen an leib und seele
508450,body,2,0,False,2,WJR haben/ hertz vnd vielgeliebte Herrn vnd Freunde/ im HER REN/ Heute vierzehen tage/ Als wir vnſerm lieben alten Herren Buͤrgermeiſter/ dem Erbaren vnd Achtbaren Herrn M. Johanni Starcken/ ſeligen/ das geleit zum Grabe gegeben/ vnd den letzten menſchlichen/ moͤglichen ſchuldigen dienſt geleiſtet vnd erzeiget/ Nicht alleine geſehen (vngeacht des regens vnd vngewitters) eine herrliche groſſe Frequentz vnd menge/ beide vnſrer Buͤrgerſchafft vnd Jnnwohner/ vnd auch etzlicher namhafftiger Chriſtlicher Adels perſonen/ vnd alſo einheimiſcher vnd frembder/ die eben daſſelbe/ mit vnd neben vns/ ohne einige vermanung vnd erforderung/ aus lautrer liebe vnd gunſt/ ſo ſie zu jhm getragen/ willig vnd gerne gethon haben.,wjr haben hertz vnd vielgeliebte herrn vnd freunde im her ren heute vierzehen tage als wir vnſerm lieben alten herren buͤrgermeiſter dem erbaren vnd achtbaren herrn m johanni starcken ſeligen das geleit zum grabe gegeben vnd den letzten menſchlichen moͤglichen ſchuldigen dienſt geleiſtet vnd erzeiget nicht alleine geſehen vngeacht des regens vnd vngewitters eine herrliche groſſe frequentz vnd menge beide vnſrer buͤrgerſchafft vnd jnnwohner vnd auch etzlicher namhafftiger chriſtlicher adels perſonen vnd alſo einheimiſcher vnd frembder die eben daſſelbe mit vnd neben vns ohne einige vermanung vnd erforderung aus lautrer liebe vnd gunſt ſo ſie zu jhm getragen willig vnd gerne gethon haben,wir haben hertz und uielgeliebte herrn und freunde im her ren heute uierzehen tage als wir unserm lieben alten herren burgermeister dem erbaren und achtbaren herrn m iohanni starcken seligen das geleit zum grabe gegeben und den letzten menschlichen moglichen schuldigen dienst geleistet und erzeiget nicht alleine gesehen ungeacht des regens und ungewitters eine herrliche grosse frequentz und menge beide unsrer burgerschafft und innwohner und auch etzlicher namhafftiger christlicher adels personen und also einheimischer und frembder die eben dasselbe mit und neben uns ohne einige uermanung und erforderung aus lautrer liebe und gunst so sie zu ihm getragen willig und gerne gethon haben
508450,body,2,1,False,2,"Sondern wir haben darneben geſehen vnd vormercket/ publicum luctum, gemeine trawrigkeit vieler/ vnd faſt aller Perſonen/ wie ſie vmb dieſen/ als furwar einen thewren/ nuͤtzlichen Mann getrawret vnd leidt getragen/ vnd ſeinen Toͤdlichen abgang hertzlich beweinet vnd beklaget haben/ vnd noch/ wie man hoͤret vnd ſiehet/ beklagen.",sondern wir haben darneben geſehen vnd vormercket publicum luctum gemeine trawrigkeit vieler vnd faſt aller perſonen wie ſie vmb dieſen als furwar einen thewren nuͤtzlichen mann getrawret vnd leidt getragen vnd ſeinen toͤdlichen abgang hertzlich beweinet vnd beklaget haben vnd noch wie man hoͤret vnd ſiehet beklagen,sondern wir haben darneben gesehen und uormercket publicum luctum gemeine trawrigkeit uieler und fast aller personen wie sie umb diesen als furwar einen thewren nutzlichen mann getrawret und leidt getragen und seinen todlichen abgang hertzlich beweinet und beklaget haben und noch wie man horet und siehet beklagen
508450,body,2,2,True,2,"Weil aber ſolches/ nach der Welt brauch/ bey vielen ſonderlich den ſichern/ vnachtſamen/ leicht zuuerrauſchen pfleget/ Wie denn wol auch der gut vnd wolthaten ſo vns Gott durch ſolche leut erzeiget/ von vielen nicht zu gar lang gedacht wird: Wie man ſagt: Kompt man der vndanckbaren Welt aus den augen vnd geſichte/ Man koͤmpt jhr auch bald aus dem hertzen vnd gemuͤte/ Dieſer Magiſter Johan Starck aber/ Jſt beydes vmb dieſe Stadt/ Buͤrgerſchafft vnd Gemeine/ So wol vmb das gantze Marggraffthumb/ vnd viel andre leute/ gar ein woluerdienter Man geweſen/ derwegen Celebri, perpetuaꝙ́ memoria dignus, ewigs vnd ehrlichs gedechtniß wol wirdig/ Wie Dauid ſagt/ Pſalm 112. In memoria æterna crit iuſtus.",weil aber ſolches nach der welt brauch bey vielen ſonderlich den ſichern vnachtſamen leicht zuuerrauſchen pfleget wie denn wol auch der gut vnd wolthaten ſo vns gott durch ſolche leut erzeiget von vielen nicht zu gar lang gedacht wird wie man ſagt kompt man der vndanckbaren welt aus den augen vnd geſichte man koͤmpt jhr auch bald aus dem hertzen vnd gemuͤte dieſer magiſter johan starck aber jſt beydes vmb dieſe stadt buͤrgerſchafft vnd gemeine so wol vmb das gantze marggraffthumb vnd viel andre leute gar ein woluerdienter man geweſen derwegen celebri perpetuaꝙ́ memoria dignus ewigs vnd ehrlichs gedechtniß wol wirdig wie dauid ſagt pſalm in memoria æterna crit iuſtus,weil aber solches nach der welt brauch bey uielen sonderlich den sichern unachtsamen leicht zuuerrauschen pfleget wie denn wol auch der gut und wolthaten so uns gott durch solche leut erzeiget uon uielen nicht zu gar lang gedacht wird wie man sagt kompt man der undanckbaren welt aus den augen und gesichte man kompt ihr auch bald aus dem hertzen und gemute dieser magister iohan starck aber ist beydes umb diese stadt burgerschafft und gemeine so wol umb das gantze marggraffthumb und uiel andre leute gar ein woluerdienter man gewesen derwegen celebri perpetuaquod memoria dignus ewigs und ehrlichs gedechtniss wol wirdig wie dauid sagt psalm in memoria aeterna crit iustus
508450,body,3,0,True,3,Damit ich nun auch in dieſem fall/ nach meinem Ampt das meine/ bey einem jtzlichen/ dinſtlich thete vnd verrichtete/ Nemlich/ das dieſes verſtorbnen Chriſtlichen Mannes gedechtnis/ nicht ſo bald verrauſchen/ Der wolthaten Gottes/ Vns durch jhn/ in allen Regimenten erzeiget/ nicht vergeſſen/ Wir alle zum embſigen Gebet/ fuͤr gemeine wolfart dieſer Stadt/ Auch durch ſein Exempel/ andre/ zu gleicher ſorgfeltigkeit/ trew vnd fleiß/ in jhrem ſtande/ ampt vnd beruff/ vnd alle vnterſaſſen/ zu gebuͤrlicher reuerentz ehrerbietung vnd gehorſam gegen jhren Chriſtlichen Regenten vnd Stadtvaͤtern/ gereitzt moͤchten werden/ Habe ich (vngeacht wie mirs von etzlichen gedeutet vnd außgeleget mag werden) hir zu fuͤr nothwendig/ nuͤtzlich vnd dienſtlich/ in meiner einfalt erachtet/ Das/ Auch ſeiner betruͤbten hinterlaſnen/ Tugentſamen Chriſtlichen Witfrawen/ ſo wol den Waiſen/ Erben vnd Kinderlein/ Beneben ſeiner gantzen Ehrlichen freundſchafft vnd verwandten/ zum troſt vnd ehren/ die Leichpredigt/ ſo bey ſeiner beſtattung/ zware gar ſchlecht vnd einfeltig/ doch hoff ich/ recht vnd Chriſtlich/ durch Goͤttliche verleihung geſchehen/ fuͤr dieſe Stadt vnd Gemein/ darzu ich dann von etzlichen fuͤrnehmen leuten/ auſſerhalb des Regiments/ angehalten vnd vermanet/ auffgelegt vnd gedruckt wuͤrde/ Da man nicht zweyfelt es werde keiner/ oder je ſehr wenig Buͤrger vnd Jnwoner/ in dieſer Sadt vnd Gemeine ſein/ Der nit zum wenigſten ein Exemplar ſolcher Leichpredigt/ Oberzelter vnd andrer vrſachen/ ſonderlich auch ſeiner Kinder halben/ zu keuffen/ vnnd in ſeinem Hauſe zuhaben/ begeren werde/ Darauff ichs in Gottes namen alſo bewilliget vnd geſchehen laſſen/ Der verleihe auch ſeine gnade/ das es bey allen denen/ ſo es fuͤr koͤmpt/ Sonderlich aber bey den jenigen/ ſo es hirmit namhafftig dedicirt vnd offerirt/ eben das/ durch ſeinen heyligen Geiſt/ ausrichte vnd wircke/ darzu es vermeinet vnd vbergeben/ So wird es zu Gottes ehre vnd allem guten gereichen/ Mich des ſchreibens/ den andern des leſens/ vnd alſo keinen ſeiner zeit vnnd muͤh gerewen duͤrffen/ Jch begere auch darfuͤr keine andre verehrung/ denn das mans zu Gottes lob/ mit danck fuͤr ſeine wolthaten/ vnd zu beharlicher gemeiner wolfart vnd beſſerung/ mit lieb annehmen/ vnd zu Chriſtlichem/ Buͤrgerlichem/ Nackbarlichem fried vnd einigkeit/ brauchen wolle/ darumb ich demuͤtig vnd fleißig bitte/ vnd mich forthin in allem/ beyde Ampt vnd Perſon nach/ dieſer Loͤblichen Stadt/ vnd Chriſtlichen Buͤrgerlichen Gemeine/ gegen einem jedern/ was ſtands vnd vermoͤgens er iſt/ reich oder arm/ zu jeder zeit/ dienſtlich vnd freundlich/ nach vermoͤgen/ erbiete vnd erzeige/ Damit Gott in ſeine gnad vnd ſchutz befohlen/ Geben am 23. Sontag nach Trinitatis/ den 2. Nouembris: Da Chriſtus Matth: 22. Den Juͤden vnd vns allen ernſtlich beſtelet: Gebet dem Keyſer/ was des Keyſers iſt/ vnd Gotte/ was Gottes iſt/ Das helff vns Gott allen Amen/ Anno 1578.,damit ich nun auch in dieſem fall nach meinem ampt das meine bey einem jtzlichen dinſtlich thete vnd verrichtete nemlich das dieſes verſtorbnen chriſtlichen mannes gedechtnis nicht ſo bald verrauſchen der wolthaten gottes vns durch jhn in allen regimenten erzeiget nicht vergeſſen wir alle zum embſigen gebet fuͤr gemeine wolfart dieſer stadt auch durch ſein exempel andre zu gleicher ſorgfeltigkeit trew vnd fleiß in jhrem ſtande ampt vnd beruff vnd alle vnterſaſſen zu gebuͤrlicher reuerentz ehrerbietung vnd gehorſam gegen jhren chriſtlichen regenten vnd stadtvaͤtern gereitzt moͤchten werden habe ich vngeacht wie mirs von etzlichen gedeutet vnd außgeleget mag werden hir zu fuͤr nothwendig nuͤtzlich vnd dienſtlich in meiner einfalt erachtet das auch ſeiner betruͤbten hinterlaſnen tugentſamen chriſtlichen witfrawen ſo wol den waiſen erben vnd kinderlein beneben ſeiner gantzen ehrlichen freundſchafft vnd verwandten zum troſt vnd ehren die leichpredigt ſo bey ſeiner beſtattung zware gar ſchlecht vnd einfeltig doch hoff ich recht vnd chriſtlich durch goͤttliche verleihung geſchehen fuͤr dieſe stadt vnd gemein darzu ich dann von etzlichen fuͤrnehmen leuten auſſerhalb des regiments angehalten vnd vermanet auffgelegt vnd gedruckt wuͤrde da man nicht zweyfelt es werde keiner oder je ſehr wenig buͤrger vnd jnwoner in dieſer sadt vnd gemeine ſein der nit zum wenigſten ein exemplar ſolcher leichpredigt oberzelter vnd andrer vrſachen ſonderlich auch ſeiner kinder halben zu keuffen vnnd in ſeinem hauſe zuhaben begeren werde darauff ichs in gottes namen alſo bewilliget vnd geſchehen laſſen der verleihe auch ſeine gnade das es bey allen denen ſo es fuͤr koͤmpt sonderlich aber bey den jenigen ſo es hirmit namhafftig dedicirt vnd offerirt eben das durch ſeinen heyligen geiſt ausrichte vnd wircke darzu es vermeinet vnd vbergeben so wird es zu gottes ehre vnd allem guten gereichen mich des ſchreibens den andern des leſens vnd alſo keinen ſeiner zeit vnnd muͤh gerewen duͤrffen jch begere auch darfuͤr keine andre verehrung denn das mans zu gottes lob mit danck fuͤr ſeine wolthaten vnd zu beharlicher gemeiner wolfart vnd beſſerung mit lieb annehmen vnd zu chriſtlichem buͤrgerlichem nackbarlichem fried vnd einigkeit brauchen wolle darumb ich demuͤtig vnd fleißig bitte vnd mich forthin in allem beyde ampt vnd perſon nach dieſer loͤblichen stadt vnd chriſtlichen buͤrgerlichen gemeine gegen einem jedern was ſtands vnd vermoͤgens er iſt reich oder arm zu jeder zeit dienſtlich vnd freundlich nach vermoͤgen erbiete vnd erzeige damit gott in ſeine gnad vnd ſchutz befohlen geben am sontag nach trinitatis den nouembris da chriſtus matth den juͤden vnd vns allen ernſtlich beſtelet gebet dem keyſer was des keyſers iſt vnd gotte was gottes iſt das helff vns gott allen amen anno,damit ich nun auch in diesem fall nach meinem ampt das meine bey einem itzlichen dinstlich thete und uerrichtete nemlich das dieses uerstorbnen christlichen mannes gedechtnis nicht so bald uerrauschen der wolthaten gottes uns durch ihn in allen regimenten erzeiget nicht uergessen wir alle zum embsigen gebet fur gemeine wolfart dieser stadt auch durch sein exempel andre zu gleicher sorgfeltigkeit trew und fleiss in ihrem stande ampt und beruff und alle untersassen zu geburlicher reuerentz ehrerbietung und gehorsam gegen ihren christlichen regenten und stadtuatern gereitzt mochten werden habe ich ungeacht wie mirs uon etzlichen gedeutet und aussgeleget mag werden hir zu fur nothwendig nutzlich und dienstlich in meiner einfalt erachtet das auch seiner betrubten hinterlasnen tugentsamen christlichen witfrawen so wol den waisen erben und kinderlein beneben seiner gantzen ehrlichen freundschafft und uerwandten zum trost und ehren die leichpredigt so bey seiner bestattung zware gar schlecht und einfeltig doch hoff ich recht und christlich durch gottliche uerleihung geschehen fur diese stadt und gemein darzu ich dann uon etzlichen furnehmen leuten ausserhalb des regiments angehalten und uermanet auffgelegt und gedruckt wurde da man nicht zweyfelt es werde keiner oder ie sehr wenig burger und inwoner in dieser sadt und gemeine sein der nit zum wenigsten ein exemplar solcher leichpredigt oberzelter und andrer ursachen sonderlich auch seiner kinder halben zu keuffen unnd in seinem hause zuhaben begeren werde darauff ichs in gottes namen also bewilliget und geschehen lassen der uerleihe auch seine gnade das es bey allen denen so es fur kompt sonderlich aber bey den ienigen so es hirmit namhafftig dedicirt und offerirt eben das durch seinen heyligen geist ausrichte und wircke darzu es uermeinet und ubergeben so wird es zu gottes ehre und allem guten gereichen mich des schreibens den andern des lesens und also keinen seiner zeit unnd muh gerewen durffen ich begere auch darfur keine andre uerehrung denn das mans zu gottes lob mit danck fur seine wolthaten und zu beharlicher gemeiner wolfart und besserung mit lieb annehmen und zu christlichem burgerlichem nackbarlichem fried und einigkeit brauchen wolle darumb ich demutig und fleissig bitte und mich forthin in allem beyde ampt und person nach dieser loblichen stadt und christlichen burgerlichen gemeine gegen einem iedern was stands und uermogens er ist reich oder arm zu ieder zeit dienstlich und freundlich nach uermogen erbiete und erzeige damit gott in seine gnad und schutz befohlen geben am sontag nach trinitatis den nouembris da christus matth den iuden und uns allen ernstlich bestelet gebet dem keyser was des keysers ist und gotte was gottes ist das helff uns gott allen amen anno
508450,body,4,0,True,4,Laurentins Dreſſerus G: manu propria.,laurentins dreſſerus g manu propria,laurentins dresserus g manu propria
508450,head,5,0,True,5,Eingang vor der verleſung des Texts.,eingang vor der verleſung des texts,eingang uor der uerlesung des texts
508450,body,6,0,False,5,"JHr geliebten vnd auſerwelten Gottes in dem Herren Chriſto/ Gott hat vns/ nach ſeinem Goͤttlichen rath/ willen vnd wolgefallen/ durch den Toͤdtlichen abgangk/ des Achtbaren/ Erbaren/ Wolgelarten vnd Wolweiſen Herren Magiſiri Joannis Starcken/ dieſer Stadt/ Buͤrgerſchafft vnd Gemein/ alten Herren Buͤrgermeiſters/ ſeliger vnd Chriſtlicher gedechtniß/ verurſachet/ Nicht allein dieſe vnſere jtzige verſamlung vnd zuſammenkunfft/ an dieſem traurigen ort/ auffm Gottsacker/ Sondern auch/ zum teil aus Chriſtlicher liebe/ zum teil aus ſchuͤldiger pflicht/ publicum luctum, gemeine trauertage anzuſtellen/ vnd eine zeitlang zuhalten.",jhr geliebten vnd auſerwelten gottes in dem herren chriſto gott hat vns nach ſeinem goͤttlichen rath willen vnd wolgefallen durch den toͤdtlichen abgangk des achtbaren erbaren wolgelarten vnd wolweiſen herren magiſiri joannis starcken dieſer stadt buͤrgerſchafft vnd gemein alten herren buͤrgermeiſters ſeliger vnd chriſtlicher gedechtniß verurſachet nicht allein dieſe vnſere jtzige verſamlung vnd zuſammenkunfft an dieſem traurigen ort auffm gottsacker sondern auch zum teil aus chriſtlicher liebe zum teil aus ſchuͤldiger pflicht publicum luctum gemeine trauertage anzuſtellen vnd eine zeitlang zuhalten,ihr geliebten und auserwelten gottes in dem herren christo gott hat uns nach seinem gottlichen rath willen und wolgefallen durch den todtlichen abgangk des achtbaren erbaren wolgelarten und wolweisen herren magisiri ioannis starcken dieser stadt burgerschafft und gemein alten herren burgermeisters seliger und christlicher gedechtniss uerursachet nicht allein diese unsere itzige uersamlung und zusammenkunfft an diesem traurigen ort auffm gottsacker sondern auch zum teil aus christlicher liebe zum teil aus schuldiger pflicht publicum luctum gemeine trauertage anzustellen und eine zeitlang zuhalten
508450,body,6,1,False,5,Vns damit nicht alleine/ gegen vnſerm/ dieſer Chriſtlichen Gemein/ Woluerdientem Herren vnd Regenten/ fuͤr ſeine trewe Vaͤterliche ſorge vnd wolthaten/ danckbar zuerzeigen.,vns damit nicht alleine gegen vnſerm dieſer chriſtlichen gemein woluerdientem herren vnd regenten fuͤr ſeine trewe vaͤterliche ſorge vnd wolthaten danckbar zuerzeigen,uns damit nicht alleine gegen unserm dieser christlichen gemein woluerdientem herren und regenten fur seine trewe uaterliche sorge und wolthaten danckbar zuerzeigen
508450,body,6,2,True,5,Sondern jtzo vnnd allewege deſter fleiſſiger zubetrachten/ vnd von Gott dem Vater/ Jn vnſers einigen Mitlers vnd vorbitters Jheſu Chriſti namen/ zuerbitten/ Was vnſrer Stadt vnd jhren Jnwonern/ zum gemeinen nutz/ vnd ſonſt allenthalben/ noͤtig/ nuͤtzlich vñ dienſtlich ſein mochte/ Denn alle gute gaben kommen von oben herab.,sondern jtzo vnnd allewege deſter fleiſſiger zubetrachten vnd von gott dem vater jn vnſers einigen mitlers vnd vorbitters jheſu chriſti namen zuerbitten was vnſrer stadt vnd jhren jnwonern zum gemeinen nutz vnd ſonſt allenthalben noͤtig nuͤtzlich vñ dienſtlich ſein mochte denn alle gute gaben kommen von oben herab,sondern itzo unnd allewege dester fleissiger zubetrachten und uon gott dem uater in unsers einigen mitlers und uorbitters ihesu christi namen zuerbitten was unsrer stadt und ihren inwonern zum gemeinen nutz und sonst allenthalben notig nutzlich und dienstlich sein mochte denn alle gute gaben kommen uon oben herab
508450,body,7,0,True,6,So wollen wir nu bey Chriſtlicher beſtattung ſeiner Leich vnd Coͤrpers/ in dieſer gar loͤblichen Volckreichen vorſamlung/ durch Goͤttliche gnad vnd verleihung/ dere wir vns bey Gott dem Vater/ durch Chriſti verdienſt vnd vorbitte/ warhafftig vnd gewißlich zutroͤſten haben/ Vns/ den lebendigen/ zur lehr/ troſt vnd warnung/ ein wenig/ mit kurtzen wortten/ nach gelegenheit jtziger zeit vnd ſtelle/ zuerkleren/ fuͤr vns nehmen/ einen herrlichen/ dieſen letzten fehrlichen betruͤbten zeiten/ vnd ſichern leuten/ fuͤrwar einen gar nothwendigen ſchoͤnen Text/ aus dem Buch vnd Predigten/ des recht Euangeliſchen Propheten Eſaiæ/ der in ſeinem 56. cap: vnter anderm alſo ſaget.,so wollen wir nu bey chriſtlicher beſtattung ſeiner leich vnd coͤrpers in dieſer gar loͤblichen volckreichen vorſamlung durch goͤttliche gnad vnd verleihung dere wir vns bey gott dem vater durch chriſti verdienſt vnd vorbitte warhafftig vnd gewißlich zutroͤſten haben vns den lebendigen zur lehr troſt vnd warnung ein wenig mit kurtzen wortten nach gelegenheit jtziger zeit vnd ſtelle zuerkleren fuͤr vns nehmen einen herrlichen dieſen letzten fehrlichen betruͤbten zeiten vnd ſichern leuten fuͤrwar einen gar nothwendigen ſchoͤnen text aus dem buch vnd predigten des recht euangeliſchen propheten eſaiæ der in ſeinem cap vnter anderm alſo ſaget,so wollen wir nu bey christlicher bestattung seiner leich und corpers in dieser gar loblichen uolckreichen uorsamlung durch gottliche gnad und uerleihung dere wir uns bey gott dem uater durch christi uerdienst und uorbitte warhafftig und gewisslich zutrosten haben uns den lebendigen zur lehr trost und warnung ein wenig mit kurtzen wortten nach gelegenheit itziger zeit und stelle zuerkleren fur uns nehmen einen herrlichen diesen letzten fehrlichen betrubten zeiten und sichern leuten furwar einen gar nothwendigen schonen text aus dem buch und predigten des recht euangelischen propheten esaiae der in seinem cap unter anderm also saget
508450,head,8,0,True,6,Text.,text,text
508450,head,9,0,True,7,Außlegung.,außlegung,ausslegung
508450,body,10,0,True,7,JHR geliebten Gottes in dem HERren Chriſto/ das dieſer Text dieſen betruͤbten letzten leuten vnnd zeiten/ gar nuͤtzlich vnd nothwendig ſey beydes den guten vnd boͤſen/ darff weder vberfluͤßiger worte/ nach weitgeſuchterbeweiſung/ Deñ der Prophet prediget darinnen/ beydes den gleubigen verſtorbenen/ Auch jhren lebendigen freunden vnd verwanten/ einen herrlichen Troſt/ Vnd wiederumb den vngleubigen Gottloſen/ die offt die frommen vberleben/ vnnd von jhrem Tode gar ſeltzam vnd wunderlich vrteilen vnd reden/ ein ernſthafftige treuhertzige warnung/ Von dieſen beyden ſtuͤcken/ in einer eyle vnd kuͤrtze/ ſeliglich vnd fruchtbarlich zureden vnd hoͤren/ verleihe vns der liebe Vater vmb Chriſti willen/ ſeinen heiligen Geiſt vnd gnade/ Amen.,jhr geliebten gottes in dem herren chriſto das dieſer text dieſen betruͤbten letzten leuten vnnd zeiten gar nuͤtzlich vnd nothwendig ſey beydes den guten vnd boͤſen darff weder vberfluͤßiger worte nach weitgeſuchterbeweiſung deñ der prophet prediget darinnen beydes den gleubigen verſtorbenen auch jhren lebendigen freunden vnd verwanten einen herrlichen troſt vnd wiederumb den vngleubigen gottloſen die offt die frommen vberleben vnnd von jhrem tode gar ſeltzam vnd wunderlich vrteilen vnd reden ein ernſthafftige treuhertzige warnung von dieſen beyden ſtuͤcken in einer eyle vnd kuͤrtze ſeliglich vnd fruchtbarlich zureden vnd hoͤren verleihe vns der liebe vater vmb chriſti willen ſeinen heiligen geiſt vnd gnade amen,ihr geliebten gottes in dem herren christo das dieser text diesen betrubten letzten leuten unnd zeiten gar nutzlich und nothwendig sey beydes den guten und bosen darff weder uberflussiger worte nach weitgesuchterbeweisung denn der prophet prediget darinnen beydes den gleubigen uerstorbenen auch ihren lebendigen freunden und uerwanten einen herrlichen trost und wiederumb den ungleubigen gottlosen die offt die frommen uberleben unnd uon ihrem tode gar seltzam und wunderlich urteilen und reden ein ernsthafftige treuhertzige warnung uon diesen beyden stucken in einer eyle und kurtze seliglich und fruchtbarlich zureden und horen uerleihe uns der liebe uater umb christi willen seinen heiligen geist und gnade amen
