idx,textstring
1.r.1,"P1,a,cc,9,2; 9,N,a,x; a,Z; o,N,a,m; c^c,o,x; c^c,o,Z,9?; c,M,c,2,c,2; 9,N,o,Z; c^c,o,x,8,9; 2,o,Z,9; c,N,c,a,Z; o,Z,9; N,a,i,Z; cc,M,a,m; c^c,a,Z; a,i,2; c,M,c,a,Z; c,M,c,a,Z; 8,a,i; 2,9,a,n,Z; c^c,c,N,9; o,Z; 9,N,a,m; c^c,o,8; c,M,c,o,a,Z,9; c,M,c,c,2; 8,a,Z,a,m; 2,9; 8,o,m; o,M,c,c,9; o,M,c,o,Z; 2; o,x,o,M,9; c,M,?,a,Z; 8,a,m; o,N,a,m; o,Z; o,N,a,i; 2,a,i,Z,9; cc,c,a,Z; c,M,c,a,m; c,P2,c,o,Z; c,P1,c,a,m; 9,8,a,Z,a,?,c^c,9"
1.r.2,"V; o,8,a,Z; c^9; c^c,o,x; c,P2,c,o,9; o,9,8,a,Z; c^c,?,?; c,P1,c,o,a,m; c^c,o,8,a,Z,9; 9,c^c,c,9; c^c,o,8,9; o,N,cc,o,9; o,M,cc,o,x; cc,o,c,M,c,9; o,2; cc,9; 8,a,n; cc,o,Z; N,o,2; 8,a,m; c^c,o,2; c,P1,c,o,x; c^c,o,8,9; 8,a,n; o,Z; M,c,o,8,9"
1.r.3,"V^,9,8,a,n; c,P2,c,c,2,a,m; o,x,2; c,P2,c,c,9; 9,N,a,n; c^c,o,c^c,9; c,P2,c,o,8,a,x; c,2; o,N,c^c,o; N,c^c,o,9; o,M,a,i,Z,i?; o,M,c,o,x; o,N,a,i; c^c,o,8,a,n; 2,c,N,cc,9; 8,a,m; c^c,o,9; c,N,c,c,9; N,o,8,a,m; c,P2,c,9; c,P2,c,o,8,a,i?,x,2; c,M,cc,9; c^c,9?; o,x; 8,a,n; 8?; 8,a,m; c^c,c,N,c,c,9; c,N,c,o,Z; cc,o,Z; c^c,c,9; N,o,x; cc,o,x; cc,o,x; N,o,Z; cc,?,?; c^c,o; cc,o,x; cc,o,8,a,i; N,c^c,9; N,cc,o?; 8,o,Z; cc,o,8,a,m; c^c,o; N,c,c,o,Q; 9,cc,o; M,cc,c,9; cc,c,N,a,n; c^c,c,o; P2,c^c,o,x; 8,9,8,9,8; c,M,c,9; 8,a,i,c,M,c,9; 9,M,o; c^c,o,x; c^c,c; N,o,8,c^c,c,9; c,P2,c,c,a,x,9; 8,a,Z,a,n; 8,a,n; c,M,c,9,8,2; 8,cc,a,Z; c^c,c,M,c,a,m; o,N,a,n,Z; cc,c,9; ?,cc,9; P2,o?,M,o,x; c,M,c,o; x,2; 8,?; o,c,M,o; c^c,o,N; cc,o,Z; cc,c,9; 8,a,n; c,N,c,o,9; o,M,o,x; 8,a,m+"
1.r.4,"c,P2,c,o; c^c,a,m; c^c,o,N,cc,c,c,9; cc,o,x; M,c^c,o,8,c,c,2,9; c^c,c,9; P2,9,8,c,c,9; c,c,9; Z,o; 8,?,Z; ?,?,o,n; cc,o,x; 8,a,n; c,M,c,a,x; 8,a,Z; c^c,c,a,Z; N,a,m; 8,a,Z; c^c,c,9; c,M,c,a,Z; cc,o; o; N,a,m; c^c,o,a,m; o,N,o,x; 8,a,m; P1,a,Z; c,M,c,o,x; 8,a,m; c,M,c,o,x,8,a,Z; 9,cc,c,c,9; o,N,a,?; o,N,9; 8,a,m; o,N,cc,c,9; N,o,N,a,m?; o,?,cc,o,x; N,?,?,cc,9; 8,a,x; 8,cc,c,o; c^c,o,8,9; N,cc,?^,c,c,9; c,M,c,9; o,N,cc,c,9; N,c,c,9; N,c,c,9; 8,a,x; cc,M,o,Z; c?,c,o; cc,o,x; cc,o,N; cc,o,M,9; cc,o,M,c,9"
1.r.5,"8,cc,a,m"
1.v.1,"N,cc,2,9; cc,o,8,a,m; o,x; o,x,M,cc,c,9; cc,a,Z; c,P1,c,a,Z; a,Q; 9,M,c,c,9; cc,a,Z; o,Z; o,cc,9; 8,cc,o; x,M,o,8,9; o,N,o,8,a,Z; cc,o,8,9; 8,o; c,N,c,9; c,N,c,o; c,N,c,9; c^c,9; 8,N,c^c,c,c,9; c,M,c,9; N,o,M,cc,o,8,9; 8,a,x; 8,o,x; cc,o,N,c,o; 8,a,i,Z; 8,a,Q; 2,o,cc,c,9; cc,o,N,o,8,9"
1.v.2,"P2,o,M,o,9; c^c,o,x; 8,a,i,Z; c,P2,c,o,a,x; 8,a,Z; cc,c,9; M,o,8,9; o,M,o,a,m; c^c,o,c^c,9; cc,o,N,9; cc,o,x; c,M,c,o; x; c^c,o,x; o,N,a,x; 8,o,x,cc,c,9; cc,o,8,o; x,o,x; cc,9; c,M,c,9; 4,о̄; o,x; cc,o,?,c,2; cc,c,o,x; 8,o,x; c,M,c,c,9; 9,N,o,x; 8,o,x; 8,o,x,o; 9,N,o,x; 8,o,x; cc,o,8,9; c^c,o,Z; o,N,o,x; cc,o,x; 8,o,x,N,9; 8,a,Z; c^c,o,x; 8,cc,o,Z; o,M,cc,o; 8,a,Z; c?c,o,8,9; M,a,o,Z; cc,o,M,cc,c,9; 8,a,x; cc,o,8,9; 2,cc,o,8,9; P2,o,x; cc,o,8,a,Z"
2.r.1,"N,9,8,a,n,9; 9,P2,cc,o,x; 8,a,m; o,M,cc,a,x; 9,P2,cc,a,m; c,N,c,o,x,2,9; 8,o,Z,cc,o,Z,9; cc,N,a,Z; 2; c^c,o,Z; c,M,c,9; c,M,o; 4,o,M,a,m; c,M,c,c,9; 9; cc,o,Z; 9,8,9; cc,a,m; ?,a,n,8,9; cc,M,o,8,8,9; c,P2,c,9; 8,a,x,2; 9,M,cc,a,m; 8,a,i; 2,a,m; 8,a,n; 8; 8,N,o,x; 2,o,Z; 9,M,o,x,8,9; 8,cc,o,x; 8,cc,9; c,M,c,9; c^c,o,Z; c,N,c,9; 8,a,m,9; cc,o,x; 8,a,i"
2.r.2,"N,9,8,a,n; c^c,a,m; 4,o,9; 2; c^c,o,x; P1,o,8,a,i; 9,N,c^c; o,x; c^c,c,c,9; 8,a,n,x,8,9; 8,x,2,c^c,o; N,o,x; c^c,c,c,9; 4,o,N,c,9; 9,N,o,8,9; 2,o; cc,o,x; 9,N,9; 8,a,n; 8,a,n,Z,o,x; 4,ô,N,9; cc,o,x,a,m; c^c,o,x; c^c,c,N,9; 8,a,m; c,M,c,c,9; N,c,o,x; 2,a,m; 2,â,m; 9,cc,a,n; 8,a,x; cc,9; 8,a,x,o,Z; c^c,a,i; 8,a,i; o,x,2,a,m; c^c,c,c,9; c,N,c,o,Z; o,N,o,x; cc,9; cc,o,Z; c,M,c,o,Z; 9,o,Z; a,i; cc,a,i; 2,a,m; cc,c,M,9; cc,9,N,9; ?,a,x; c^c,o; 9,N,c,c,9; cc,c,9; 8,a,m; cc,c,M,c,9"
2.v.1,"N,o?,o,m; cc,c,o,P2,cc,o,Z; o,M,a,m; o; 8,a,n; cc,o,Z; 8,a,i,Z; c^c,M,9; N,cc,9?; N,cc,9; c^c,o; c^c,o,x; 4,o,M,cc,o; x,o,c,c,c,2; 4,o,M,9; cc,o,Z; 8,a,m; o,M,cc,9; cc,o,Z; x,c^c,9; cc,o,x; cc,o,8,9; cc,o,8,a,n; cc,c,M,c,9; 8,a,m; c^c,o; cc,o,x,o; cc,c,o,Z; cc,o,8,a,m"
